n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max,depth_total,depth_count,depth_mean,depth_min,depth_max,cliques_total,cliques_count,cliques_mean,cliques_min,cliques_max
14,70,57,1,57,57,57,0.000150534,1,0.000150534,0.000150534,0.000150534,81,1,81,81,81,6,1,6,6,6,23,1,23,23,23
14,70,72,1,72,72,72,0.000181176,1,0.000181176,0.000181176,0.000181176,104,1,104,104,104,9,1,9,9,9,24,1,24,24,24
14,70,70,1,70,70,70,0.000211191,1,0.000211191,0.000211191,0.000211191,110,1,110,110,110,8,1,8,8,8,15,1,15,15,15
14,70,67,1,67,67,67,0.000236374,1,0.000236374,0.000236374,0.000236374,136,1,136,136,136,7,1,7,7,7,30,1,30,30,30
14,70,64,1,64,64,64,0.000163489,1,0.000163489,0.000163489,0.000163489,110,1,110,110,110,7,1,7,7,7,32,1,32,32,32
14,70,56,1,56,56,56,0.000140565,1,0.000140565,0.000140565,0.000140565,85,1,85,85,85,7,1,7,7,7,21,1,21,21,21
14,70,59,1,59,59,59,0.000143017,1,0.000143017,0.000143017,0.000143017,93,1,93,93,93,7,1,7,7,7,30,1,30,30,30
14,70,62,1,62,62,62,0.000178303,1,0.000178303,0.000178303,0.000178303,96,1,96,96,96,8,1,8,8,8,22,1,22,22,22
14,70,61,1,61,61,61,0.000202779,1,0.000202779,0.000202779,0.000202779,126,1,126,126,126,6,1,6,6,6,38,1,38,38,38
14,70,63,1,63,63,63,0.000199048,1,0.000199048,0.000199048,0.000199048,107,1,107,107,107,7,1,7,7,7,21,1,21,21,21
14,70,63,1,63,63,63,0.000179604,1,0.000179604,0.000179604,0.000179604,111,1,111,111,111,7,1,7,7,7,33,1,33,33,33
14,70,64,1,64,64,64,0.000159246,1,0.000159246,0.000159246,0.000159246,104,1,104,104,104,7,1,7,7,7,24,1,24,24,24
14,70,69,1,69,69,69,0.000216438,1,0.000216438,0.000216438,0.000216438,123,1,123,123,123,8,1,8,8,8,28,1,28,28,28
14,70,60,1,60,60,60,0.000113569,1,0.000113569,0.000113569,0.000113569,76,1,76,76,76,7,1,7,7,7,21,1,21,21,21
14,70,64,1,64,64,64,0.000210778,1,0.000210778,0.000210778,0.000210778,128,1,128,128,128,7,1,7,7,7,32,1,32,32,32
14,70,63,1,63,63,63,0.000203442,1,0.000203442,0.000203442,0.000203442,116,1,116,116,116,7,1,7,7,7,25,1,25,25,25
14,70,58,1,58,58,58,0.00013182,1,0.00013182,0.00013182,0.00013182,87,1,87,87,87,6,1,6,6,6,24,1,24,24,24
14,70,66,1,66,66,66,0.00018999,1,0.00018999,0.00018999,0.00018999,98,1,98,98,98,8,1,8,8,8,19,1,19,19,19
14,70,70,1,70,70,70,0.000180505,1,0.000180505,0.000180505,0.000180505,107,1,107,107,107,8,1,8,8,8,19,1,19,19,19
14,70,57,1,57,57,57,0.000172693,1,0.000172693,0.000172693,0.000172693,103,1,103,103,103,6,1,6,6,6,27,1,27,27,27
14,70,57,1,57,57,57,0.000123504,1,0.000123504,0.000123504,0.000123504,84,1,84,84,84,7,1,7,7,7,23,1,23,23,23
14,70,66,1,66,66,66,0.000192232,1,0.000192232,0.000192232,0.000192232,112,1,112,112,112,8,1,8,8,8,26,1,26,26,26
14,70,66,1,66,66,66,0.000172529,1,0.000172529,0.000172529,0.000172529,102,1,102,102,102,7,1,7,7,7,23,1,23,23,23
14,70,64,1,64,64,64,0.000131725,1,0.000131725,0.000131725,0.000131725,86,1,86,86,86,7,1,7,7,7,33,1,33,33,33
14,70,66,1,66,66,66,0.000121805,1,0.000121805,0.000121805,0.000121805,76,1,76,76,76,8,1,8,8,8,23,1,23,23,23
14,70,70,1,70,70,70,0.000241678,1,0.000241678,0.000241678,0.000241678,132,1,132,132,132,8,1,8,8,8,30,1,30,30,30
14,70,66,1,66,66,66,0.000212575,1,0.000212575,0.000212575,0.000212575,117,1,117,117,117,7,1,7,7,7,27,1,27,27,27
14,70,65,1,65,65,65,0.00016289,1,0.00016289,0.00016289,0.00016289,105,1,105,105,105,8,1,8,8,8,24,1,24,24,24
14,70,68,1,68,68,68,0.000189509,1,0.000189509,0.000189509,0.000189509,119,1,119,119,119,7,1,7,7,7,32,1,32,32,32
14,70,65,1,65,65,65,0.000154802,1,0.000154802,0.000154802,0.000154802,93,1,93,93,93,7,1,7,7,7,26,1,26,26,26
14,70,62,1,62,62,62,0.000200604,1,0.000200604,0.000200604,0.000200604,123,1,123,123,123,6,1,6,6,6,31,1,31,31,31
14,70,64,1,64,64,64,0.000198393,1,0.000198393,0.000198393,0.000198393,119,1,119,119,119,7,1,7,7,7,27,1,27,27,27
14,70,65,1,65,65,65,0.000139644,1,0.000139644,0.000139644,0.000139644,92,1,92,92,92,7,1,7,7,7,25,1,25,25,25
14,70,63,1,63,63,63,0.000148095,1,0.000148095,0.000148095,0.000148095,88,1,88,88,88,8,1,8,8,8,22,1,22,22,22
14,70,66,1,66,66,66,0.000235564,1,0.000235564,0.000235564,0.000235564,130,1,130,130,130,7,1,7,7,7,30,1,30,30,30
14,70,69,1,69,69,69,0.000223981,1,0.000223981,0.000223981,0.000223981,133,1,133,133,133,7,1,7,7,7,31,1,31,31,31
14,70,56,1,56,56,56,0.000135027,1,0.000135027,0.000135027,0.000135027,91,1,91,91,91,6,1,6,6,6,23,1,23,23,23
14,70,65,1,65,65,65,0.000201772,1,0.000201772,0.000201772,0.000201772,104,1,104,104,104,8,1,8,8,8,18,1,18,18,18
14,70,63,1,63,63,63,0.000200246,1,0.000200246,0.000200246,0.000200246,108,1,108,108,108,7,1,7,7,7,27,1,27,27,27
14,70,67,1,67,67,67,0.000173643,1,0.000173643,0.000173643,0.000173643,101,1,101,101,101,9,1,9,9,9,20,1,20,20,20
14,70,70,1,70,70,70,0.000161614,1,0.000161614,0.000161614,0.000161614,96,1,96,96,96,8,1,8,8,8,25,1,25,25,25
14,70,53,1,53,53,53,0.000126134,1,0.000126134,0.000126134,0.000126134,81,1,81,81,81,6,1,6,6,6,23,1,23,23,23
14,70,62,1,62,62,62,0.000184961,1,0.000184961,0.000184961,0.000184961,113,1,113,113,113,7,1,7,7,7,28,1,28,28,28
14,70,67,1,67,67,67,0.000184475,1,0.000184475,0.000184475,0.000184475,110,1,110,110,110,8,1,8,8,8,25,1,25,25,25
14,70,64,1,64,64,64,0.000169814,1,0.000169814,0.000169814,0.000169814,102,1,102,102,102,8,1,8,8,8,27,1,27,27,27
14,70,72,1,72,72,72,0.00022377,1,0.00022377,0.00022377,0.00022377,110,1,110,110,110,9,1,9,9,9,18,1,18,18,18
14,70,62,1,62,62,62,0.000158295,1,0.000158295,0.000158295,0.000158295,102,1,102,102,102,7,1,7,7,7,29,1,29,29,29
14,70,64,1,64,64,64,0.000130099,1,0.000130099,0.000130099,0.000130099,92,1,92,92,92,7,1,7,7,7,30,1,30,30,30
14,70,63,1,63,63,63,0.000145674,1,0.000145674,0.000145674,0.000145674,75,1,75,75,75,8,1,8,8,8,18,1,18,18,18
14,70,65,1,65,65,65,0.000138421,1,0.000138421,0.000138421,0.000138421,95,1,95,95,95,7,1,7,7,7,29,1,29,29,29
14,70,65,1,65,65,65,0.000180085,1,0.000180085,0.000180085,0.000180085,98,1,98,98,98,8,1,8,8,8,17,1,17,17,17
14,70,61,1,61,61,61,0.000168507,1,0.000168507,0.000168507,0.000168507,111,1,111,111,111,7,1,7,7,7,28,1,28,28,28
14,70,67,1,67,67,67,0.000178337,1,0.000178337,0.000178337,0.000178337,112,1,112,112,112,8,1,8,8,8,29,1,29,29,29
14,70,62,1,62,62,62,0.00014971,1,0.00014971,0.00014971,0.00014971,94,1,94,94,94,8,1,8,8,8,21,1,21,21,21
14,70,64,1,64,64,64,0.000146054,1,0.000146054,0.000146054,0.000146054,84,1,84,84,84,8,1,8,8,8,21,1,21,21,21
14,70,68,1,68,68,68,0.000170285,1,0.000170285,0.000170285,0.000170285,102,1,102,102,102,8,1,8,8,8,28,1,28,28,28
14,70,66,1,66,66,66,0.000216975,1,0.000216975,0.000216975,0.000216975,118,1,118,118,118,7,1,7,7,7,28,1,28,28,28
14,70,62,1,62,62,62,0.000156179,1,0.000156179,0.000156179,0.000156179,105,1,105,105,105,6,1,6,6,6,35,1,35,35,35
14,70,60,1,60,60,60,0.000192746,1,0.000192746,0.000192746,0.000192746,110,1,110,110,110,6,1,6,6,6,31,1,31,31,31
