n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max
16,30,38,1,38,38,38,0.0912106,1,0.0912106,0.0912106,0.0912106,1363,1,1363,1363,1363
16,30,32,1,32,32,32,0.0564045,1,0.0564045,0.0564045,0.0564045,696,1,696,696,696
16,30,33,1,33,33,33,0.064802,1,0.064802,0.064802,0.064802,942,1,942,942,942
16,30,40,1,40,40,40,0.0355719,1,0.0355719,0.0355719,0.0355719,678,1,678,678,678
16,30,39,1,39,39,39,0.150196,1,0.150196,0.150196,0.150196,1762,1,1762,1762,1762
16,30,34,1,34,34,34,0.0339654,1,0.0339654,0.0339654,0.0339654,780,1,780,780,780
16,30,41,1,41,41,41,0.0291239,1,0.0291239,0.0291239,0.0291239,647,1,647,647,647
16,30,40,1,40,40,40,0.144897,1,0.144897,0.144897,0.144897,2144,1,2144,2144,2144
16,30,40,1,40,40,40,0.0834465,1,0.0834465,0.0834465,0.0834465,1181,1,1181,1181,1181
16,30,33,1,33,33,33,0.104545,1,0.104545,0.104545,0.104545,1368,1,1368,1368,1368
16,30,37,1,37,37,37,0.0562888,1,0.0562888,0.0562888,0.0562888,1038,1,1038,1038,1038
16,30,41,1,41,41,41,0.0273109,1,0.0273109,0.0273109,0.0273109,652,1,652,652,652
16,30,28,1,28,28,28,0.0142632,1,0.0142632,0.0142632,0.0142632,334,1,334,334,334
16,30,36,1,36,36,36,0.0487979,1,0.0487979,0.0487979,0.0487979,832,1,832,832,832
16,30,37,1,37,37,37,0.0400768,1,0.0400768,0.0400768,0.0400768,749,1,749,749,749
16,30,42,1,42,42,42,0.104441,1,0.104441,0.104441,0.104441,1729,1,1729,1729,1729
16,30,42,1,42,42,42,0.136231,1,0.136231,0.136231,0.136231,1769,1,1769,1769,1769
16,30,34,1,34,34,34,0.0963792,1,0.0963792,0.0963792,0.0963792,1276,1,1276,1276,1276
16,30,33,1,33,33,33,0.0515706,1,0.0515706,0.0515706,0.0515706,723,1,723,723,723
16,30,33,1,33,33,33,0.0369168,1,0.0369168,0.0369168,0.0369168,693,1,693,693,693
16,30,38,1,38,38,38,0.18758,1,0.18758,0.18758,0.18758,2169,1,2169,2169,2169
16,30,42,1,42,42,42,0.0855415,1,0.0855415,0.0855415,0.0855415,1145,1,1145,1145,1145
16,30,32,1,32,32,32,0.0470826,1,0.0470826,0.0470826,0.0470826,815,1,815,815,815
16,30,32,1,32,32,32,0.0279359,1,0.0279359,0.0279359,0.0279359,594,1,594,594,594
16,30,39,1,39,39,39,0.0760358,1,0.0760358,0.0760358,0.0760358,1190,1,1190,1190,1190
16,30,35,1,35,35,35,0.0624601,1,0.0624601,0.0624601,0.0624601,1183,1,1183,1183,1183
16,30,28,1,28,28,28,0.0307488,1,0.0307488,0.0307488,0.0307488,471,1,471,471,471
16,30,29,1,29,29,29,0.0248345,1,0.0248345,0.0248345,0.0248345,506,1,506,506,506
16,30,34,1,34,34,34,0.0297248,1,0.0297248,0.0297248,0.0297248,603,1,603,603,603
16,30,39,1,39,39,39,0.0934661,1,0.0934661,0.0934661,0.0934661,1322,1,1322,1322,1322
16,30,34,1,34,34,34,0.0560281,1,0.0560281,0.0560281,0.0560281,822,1,822,822,822
16,30,44,1,44,44,44,0.0752775,1,0.0752775,0.0752775,0.0752775,1196,1,1196,1196,1196
16,30,47,1,47,47,47,0.0950438,1,0.0950438,0.0950438,0.0950438,1398,1,1398,1398,1398
16,30,41,1,41,41,41,0.118148,1,0.118148,0.118148,0.118148,1746,1,1746,1746,1746
16,30,32,1,32,32,32,0.0243456,1,0.0243456,0.0243456,0.0243456,447,1,447,447,447
16,30,39,1,39,39,39,0.0543443,1,0.0543443,0.0543443,0.0543443,993,1,993,993,993
16,30,39,1,39,39,39,0.135795,1,0.135795,0.135795,0.135795,1627,1,1627,1627,1627
16,30,31,1,31,31,31,0.0230117,1,0.0230117,0.0230117,0.0230117,471,1,471,471,471
16,30,34,1,34,34,34,0.108532,1,0.108532,0.108532,0.108532,1306,1,1306,1306,1306
16,30,33,1,33,33,33,0.0213164,1,0.0213164,0.0213164,0.0213164,491,1,491,491,491
16,30,41,1,41,41,41,0.0797452,1,0.0797452,0.0797452,0.0797452,1135,1,1135,1135,1135
16,30,46,1,46,46,46,0.153824,1,0.153824,0.153824,0.153824,1645,1,1645,1645,1645
16,30,38,1,38,38,38,0.114366,1,0.114366,0.114366,0.114366,1490,1,1490,1490,1490
16,30,31,1,31,31,31,0.0412898,1,0.0412898,0.0412898,0.0412898,702,1,702,702,702
16,30,36,1,36,36,36,0.128178,1,0.128178,0.128178,0.128178,1679,1,1679,1679,1679
16,30,42,1,42,42,42,0.0526659,1,0.0526659,0.0526659,0.0526659,747,1,747,747,747
16,30,23,1,23,23,23,0.0132992,1,0.0132992,0.0132992,0.0132992,456,1,456,456,456
16,30,35,1,35,35,35,0.0358538,1,0.0358538,0.0358538,0.0358538,698,1,698,698,698
16,30,37,1,37,37,37,0.0370278,1,0.0370278,0.0370278,0.0370278,741,1,741,741,741
16,30,46,1,46,46,46,0.0683462,1,0.0683462,0.0683462,0.0683462,995,1,995,995,995
16,30,42,1,42,42,42,0.19956,1,0.19956,0.19956,0.19956,2014,1,2014,2014,2014
16,30,36,1,36,36,36,0.120281,1,0.120281,0.120281,0.120281,1717,1,1717,1717,1717
16,30,36,1,36,36,36,0.0393507,1,0.0393507,0.0393507,0.0393507,682,1,682,682,682
16,30,30,1,30,30,30,0.0324837,1,0.0324837,0.0324837,0.0324837,619,1,619,619,619
16,30,39,1,39,39,39,0.113732,1,0.113732,0.113732,0.113732,1485,1,1485,1485,1485
16,30,39,1,39,39,39,0.130801,1,0.130801,0.130801,0.130801,1700,1,1700,1700,1700
16,30,29,1,29,29,29,0.0303095,1,0.0303095,0.0303095,0.0303095,529,1,529,529,529
16,30,35,1,35,35,35,0.111169,1,0.111169,0.111169,0.111169,1551,1,1551,1551,1551
16,30,34,1,34,34,34,0.0234601,1,0.0234601,0.0234601,0.0234601,446,1,446,446,446
16,30,34,1,34,34,34,0.0389895,1,0.0389895,0.0389895,0.0389895,562,1,562,562,562
16,30,28,1,28,28,28,0.0956353,1,0.0956353,0.0956353,0.0956353,878,1,878,878,878
16,30,30,1,30,30,30,0.026919,1,0.026919,0.026919,0.026919,388,1,388,388,388
16,30,37,1,37,37,37,0.0361335,1,0.0361335,0.0361335,0.0361335,741,1,741,741,741
16,30,34,1,34,34,34,0.0136806,1,0.0136806,0.0136806,0.0136806,243,1,243,243,243
16,30,36,1,36,36,36,0.043376,1,0.043376,0.043376,0.043376,721,1,721,721,721
16,30,32,1,32,32,32,0.0542903,1,0.0542903,0.0542903,0.0542903,890,1,890,890,890
16,30,34,1,34,34,34,0.0176947,1,0.0176947,0.0176947,0.0176947,502,1,502,502,502
16,30,41,1,41,41,41,0.141743,1,0.141743,0.141743,0.141743,1662,1,1662,1662,1662
16,30,38,1,38,38,38,0.0481319,1,0.0481319,0.0481319,0.0481319,967,1,967,967,967
16,30,35,1,35,35,35,0.0384333,1,0.0384333,0.0384333,0.0384333,597,1,597,597,597
16,30,37,1,37,37,37,0.0176796,1,0.0176796,0.0176796,0.0176796,299,1,299,299,299
16,30,45,1,45,45,45,0.0912777,1,0.0912777,0.0912777,0.0912777,1305,1,1305,1305,1305
16,30,42,1,42,42,42,0.112357,1,0.112357,0.112357,0.112357,1302,1,1302,1302,1302
16,30,34,1,34,34,34,0.125246,1,0.125246,0.125246,0.125246,1578,1,1578,1578,1578
16,30,22,1,22,22,22,0.0120606,1,0.0120606,0.0120606,0.0120606,335,1,335,335,335
16,30,32,1,32,32,32,0.108957,1,0.108957,0.108957,0.108957,1107,1,1107,1107,1107
16,30,33,1,33,33,33,0.0695324,1,0.0695324,0.0695324,0.0695324,1057,1,1057,1057,1057
16,30,30,1,30,30,30,0.0353211,1,0.0353211,0.0353211,0.0353211,491,1,491,491,491
16,30,24,1,24,24,24,0.0153807,1,0.0153807,0.0153807,0.0153807,340,1,340,340,340
16,30,34,1,34,34,34,0.0706464,1,0.0706464,0.0706464,0.0706464,1183,1,1183,1183,1183
16,30,38,1,38,38,38,0.0453649,1,0.0453649,0.0453649,0.0453649,861,1,861,861,861
16,30,44,1,44,44,44,0.0767632,1,0.0767632,0.0767632,0.0767632,1234,1,1234,1234,1234
16,30,38,1,38,38,38,0.0953881,1,0.0953881,0.0953881,0.0953881,1335,1,1335,1335,1335
16,30,35,1,35,35,35,0.0243119,1,0.0243119,0.0243119,0.0243119,549,1,549,549,549
16,30,41,1,41,41,41,0.0592174,1,0.0592174,0.0592174,0.0592174,1054,1,1054,1054,1054
16,30,32,1,32,32,32,0.0499557,1,0.0499557,0.0499557,0.0499557,759,1,759,759,759
16,30,44,1,44,44,44,0.0996437,1,0.0996437,0.0996437,0.0996437,1411,1,1411,1411,1411
16,30,33,1,33,33,33,0.120021,1,0.120021,0.120021,0.120021,1617,1,1617,1617,1617
16,30,35,1,35,35,35,0.122957,1,0.122957,0.122957,0.122957,1567,1,1567,1567,1567
16,30,38,1,38,38,38,0.161621,1,0.161621,0.161621,0.161621,1947,1,1947,1947,1947
16,30,35,1,35,35,35,0.0792634,1,0.0792634,0.0792634,0.0792634,1161,1,1161,1161,1161
16,30,40,1,40,40,40,0.181151,1,0.181151,0.181151,0.181151,2277,1,2277,2277,2277
16,30,26,1,26,26,26,0.0248224,1,0.0248224,0.0248224,0.0248224,504,1,504,504,504
16,30,33,1,33,33,33,0.0176085,1,0.0176085,0.0176085,0.0176085,479,1,479,479,479
16,30,44,1,44,44,44,0.0697884,1,0.0697884,0.0697884,0.0697884,1119,1,1119,1119,1119
16,30,28,1,28,28,28,0.0143265,1,0.0143265,0.0143265,0.0143265,249,1,249,249,249
16,30,34,1,34,34,34,0.0305447,1,0.0305447,0.0305447,0.0305447,671,1,671,671,671
16,30,31,1,31,31,31,0.0310759,1,0.0310759,0.0310759,0.0310759,623,1,623,623,623
16,30,34,1,34,34,34,0.0609778,1,0.0609778,0.0609778,0.0609778,680,1,680,680,680
16,30,32,1,32,32,32,0.179934,1,0.179934,0.179934,0.179934,1852,1,1852,1852,1852
16,30,27,1,27,27,27,0.0415469,1,0.0415469,0.0415469,0.0415469,702,1,702,702,702
16,30,29,1,29,29,29,0.0270485,1,0.0270485,0.0270485,0.0270485,620,1,620,620,620
16,30,34,1,34,34,34,0.106567,1,0.106567,0.106567,0.106567,1364,1,1364,1364,1364
16,30,39,1,39,39,39,0.0519582,1,0.0519582,0.0519582,0.0519582,846,1,846,846,846
16,30,31,1,31,31,31,0.0443931,1,0.0443931,0.0443931,0.0443931,592,1,592,592,592
16,30,32,1,32,32,32,0.0229403,1,0.0229403,0.0229403,0.0229403,463,1,463,463,463
16,30,35,1,35,35,35,0.0195207,1,0.0195207,0.0195207,0.0195207,476,1,476,476,476
16,30,31,1,31,31,31,0.0267454,1,0.0267454,0.0267454,0.0267454,601,1,601,601,601
16,30,40,1,40,40,40,0.0537304,1,0.0537304,0.0537304,0.0537304,924,1,924,924,924
16,30,38,1,38,38,38,0.0623558,1,0.0623558,0.0623558,0.0623558,991,1,991,991,991
16,30,36,1,36,36,36,0.125043,1,0.125043,0.125043,0.125043,1645,1,1645,1645,1645
16,30,31,1,31,31,31,0.0209906,1,0.0209906,0.0209906,0.0209906,434,1,434,434,434
16,30,38,1,38,38,38,0.0604899,1,0.0604899,0.0604899,0.0604899,934,1,934,934,934
16,30,45,1,45,45,45,0.0545097,1,0.0545097,0.0545097,0.0545097,956,1,956,956,956
16,30,28,1,28,28,28,0.0393073,1,0.0393073,0.0393073,0.0393073,494,1,494,494,494
16,30,29,1,29,29,29,0.020566,1,0.020566,0.020566,0.020566,364,1,364,364,364
16,30,41,1,41,41,41,0.0579962,1,0.0579962,0.0579962,0.0579962,1269,1,1269,1269,1269
16,30,40,1,40,40,40,0.0889051,1,0.0889051,0.0889051,0.0889051,1392,1,1392,1392,1392
16,30,28,1,28,28,28,0.0256235,1,0.0256235,0.0256235,0.0256235,452,1,452,452,452
16,30,40,1,40,40,40,0.0197509,1,0.0197509,0.0197509,0.0197509,465,1,465,465,465
16,30,35,1,35,35,35,0.037377,1,0.037377,0.037377,0.037377,719,1,719,719,719
16,30,39,1,39,39,39,0.0432541,1,0.0432541,0.0432541,0.0432541,848,1,848,848,848
16,30,39,1,39,39,39,0.10122,1,0.10122,0.10122,0.10122,1426,1,1426,1426,1426
16,30,31,1,31,31,31,0.0263879,1,0.0263879,0.0263879,0.0263879,513,1,513,513,513
16,30,31,1,31,31,31,0.0199501,1,0.0199501,0.0199501,0.0199501,455,1,455,455,455
16,30,25,1,25,25,25,0.0490775,1,0.0490775,0.0490775,0.0490775,664,1,664,664,664
16,30,31,1,31,31,31,0.0459379,1,0.0459379,0.0459379,0.0459379,887,1,887,887,887
16,30,30,1,30,30,30,0.0261416,1,0.0261416,0.0261416,0.0261416,531,1,531,531,531
16,30,33,1,33,33,33,0.0391156,1,0.0391156,0.0391156,0.0391156,540,1,540,540,540
16,30,35,1,35,35,35,0.0273556,1,0.0273556,0.0273556,0.0273556,569,1,569,569,569
16,30,30,1,30,30,30,0.0153702,1,0.0153702,0.0153702,0.0153702,435,1,435,435,435
16,30,35,1,35,35,35,0.0239459,1,0.0239459,0.0239459,0.0239459,503,1,503,503,503
16,30,38,1,38,38,38,0.0485658,1,0.0485658,0.0485658,0.0485658,821,1,821,821,821
16,30,34,1,34,34,34,0.143051,1,0.143051,0.143051,0.143051,1985,1,1985,1985,1985
16,30,30,1,30,30,30,0.0232499,1,0.0232499,0.0232499,0.0232499,467,1,467,467,467
16,30,37,1,37,37,37,0.0505526,1,0.0505526,0.0505526,0.0505526,883,1,883,883,883
16,30,30,1,30,30,30,0.018656,1,0.018656,0.018656,0.018656,294,1,294,294,294
16,30,31,1,31,31,31,0.0521734,1,0.0521734,0.0521734,0.0521734,710,1,710,710,710
16,30,39,1,39,39,39,0.161778,1,0.161778,0.161778,0.161778,2141,1,2141,2141,2141
16,30,38,1,38,38,38,0.0645452,1,0.0645452,0.0645452,0.0645452,946,1,946,946,946
16,30,34,1,34,34,34,0.072572,1,0.072572,0.072572,0.072572,947,1,947,947,947
16,30,45,1,45,45,45,0.078242,1,0.078242,0.078242,0.078242,1292,1,1292,1292,1292
16,30,33,1,33,33,33,0.0360151,1,0.0360151,0.0360151,0.0360151,665,1,665,665,665
16,30,31,1,31,31,31,0.0234176,1,0.0234176,0.0234176,0.0234176,464,1,464,464,464
16,30,33,1,33,33,33,0.0438113,1,0.0438113,0.0438113,0.0438113,746,1,746,746,746
16,30,42,1,42,42,42,0.0683447,1,0.0683447,0.0683447,0.0683447,1068,1,1068,1068,1068
16,30,30,1,30,30,30,0.113948,1,0.113948,0.113948,0.113948,1093,1,1093,1093,1093
16,30,33,1,33,33,33,0.0425717,1,0.0425717,0.0425717,0.0425717,679,1,679,679,679
16,30,39,1,39,39,39,0.181076,1,0.181076,0.181076,0.181076,2019,1,2019,2019,2019
16,30,41,1,41,41,41,0.0944363,1,0.0944363,0.0944363,0.0944363,1284,1,1284,1284,1284
16,30,33,1,33,33,33,0.043361,1,0.043361,0.043361,0.043361,817,1,817,817,817
16,30,38,1,38,38,38,0.0203443,1,0.0203443,0.0203443,0.0203443,551,1,551,551,551
16,30,24,1,24,24,24,0.0208994,1,0.0208994,0.0208994,0.0208994,379,1,379,379,379
16,30,41,1,41,41,41,0.124681,1,0.124681,0.124681,0.124681,1433,1,1433,1433,1433
16,30,43,1,43,43,43,0.121688,1,0.121688,0.121688,0.121688,1488,1,1488,1488,1488
16,30,44,1,44,44,44,0.180919,1,0.180919,0.180919,0.180919,2062,1,2062,2062,2062
16,30,37,1,37,37,37,0.0527515,1,0.0527515,0.0527515,0.0527515,862,1,862,862,862
16,30,46,1,46,46,46,0.0808196,1,0.0808196,0.0808196,0.0808196,1264,1,1264,1264,1264
16,30,33,1,33,33,33,0.0390033,1,0.0390033,0.0390033,0.0390033,728,1,728,728,728
16,30,24,1,24,24,24,0.00815671,1,0.00815671,0.00815671,0.00815671,202,1,202,202,202
16,30,38,1,38,38,38,0.131644,1,0.131644,0.131644,0.131644,1754,1,1754,1754,1754
16,30,36,1,36,36,36,0.02884,1,0.02884,0.02884,0.02884,638,1,638,638,638
16,30,34,1,34,34,34,0.0396249,1,0.0396249,0.0396249,0.0396249,631,1,631,631,631
16,30,35,1,35,35,35,0.0265647,1,0.0265647,0.0265647,0.0265647,621,1,621,621,621
16,30,43,1,43,43,43,0.0817818,1,0.0817818,0.0817818,0.0817818,1333,1,1333,1333,1333
16,30,38,1,38,38,38,0.0345993,1,0.0345993,0.0345993,0.0345993,713,1,713,713,713
16,30,45,1,45,45,45,0.0526223,1,0.0526223,0.0526223,0.0526223,833,1,833,833,833
16,30,33,1,33,33,33,0.0559998,1,0.0559998,0.0559998,0.0559998,899,1,899,899,899
16,30,39,1,39,39,39,0.081917,1,0.081917,0.081917,0.081917,1168,1,1168,1168,1168
16,30,31,1,31,31,31,0.0267335,1,0.0267335,0.0267335,0.0267335,472,1,472,472,472
16,30,39,1,39,39,39,0.068008,1,0.068008,0.068008,0.068008,972,1,972,972,972
16,30,40,1,40,40,40,0.0345742,1,0.0345742,0.0345742,0.0345742,757,1,757,757,757
16,30,35,1,35,35,35,0.0266307,1,0.0266307,0.0266307,0.0266307,569,1,569,569,569
16,30,39,1,39,39,39,0.109092,1,0.109092,0.109092,0.109092,1343,1,1343,1343,1343
16,30,34,1,34,34,34,0.0309757,1,0.0309757,0.0309757,0.0309757,617,1,617,617,617
16,30,42,1,42,42,42,0.175368,1,0.175368,0.175368,0.175368,1944,1,1944,1944,1944
16,30,37,1,37,37,37,0.0893735,1,0.0893735,0.0893735,0.0893735,1356,1,1356,1356,1356
16,30,32,1,32,32,32,0.0229668,1,0.0229668,0.0229668,0.0229668,510,1,510,510,510
16,30,35,1,35,35,35,0.0238197,1,0.0238197,0.0238197,0.0238197,357,1,357,357,357
16,30,31,1,31,31,31,0.0227907,1,0.0227907,0.0227907,0.0227907,456,1,456,456,456
16,30,36,1,36,36,36,0.0680558,1,0.0680558,0.0680558,0.0680558,1021,1,1021,1021,1021
16,30,35,1,35,35,35,0.0562654,1,0.0562654,0.0562654,0.0562654,971,1,971,971,971
16,30,40,1,40,40,40,0.078892,1,0.078892,0.078892,0.078892,1054,1,1054,1054,1054
16,30,22,1,22,22,22,0.00683764,1,0.00683764,0.00683764,0.00683764,214,1,214,214,214
16,30,34,1,34,34,34,0.0588386,1,0.0588386,0.0588386,0.0588386,796,1,796,796,796
16,30,32,1,32,32,32,0.102726,1,0.102726,0.102726,0.102726,1367,1,1367,1367,1367
16,30,36,1,36,36,36,0.073995,1,0.073995,0.073995,0.073995,1238,1,1238,1238,1238
16,30,37,1,37,37,37,0.038829,1,0.038829,0.038829,0.038829,870,1,870,870,870
16,30,38,1,38,38,38,0.031494,1,0.031494,0.031494,0.031494,620,1,620,620,620
16,30,37,1,37,37,37,0.0298681,1,0.0298681,0.0298681,0.0298681,636,1,636,636,636
16,30,33,1,33,33,33,0.0581263,1,0.0581263,0.0581263,0.0581263,990,1,990,990,990
16,30,38,1,38,38,38,0.088808,1,0.088808,0.088808,0.088808,1420,1,1420,1420,1420
16,30,41,1,41,41,41,0.0675428,1,0.0675428,0.0675428,0.0675428,945,1,945,945,945
16,30,30,1,30,30,30,0.0501839,1,0.0501839,0.0501839,0.0501839,942,1,942,942,942
16,30,33,1,33,33,33,0.0567445,1,0.0567445,0.0567445,0.0567445,849,1,849,849,849
16,30,42,1,42,42,42,0.0538007,1,0.0538007,0.0538007,0.0538007,793,1,793,793,793
16,30,42,1,42,42,42,0.186592,1,0.186592,0.186592,0.186592,1852,1,1852,1852,1852
16,30,38,1,38,38,38,0.0479835,1,0.0479835,0.0479835,0.0479835,841,1,841,841,841
16,30,33,1,33,33,33,0.0570384,1,0.0570384,0.0570384,0.0570384,1102,1,1102,1102,1102
16,30,37,1,37,37,37,0.0693493,1,0.0693493,0.0693493,0.0693493,1247,1,1247,1247,1247
16,30,25,1,25,25,25,0.0108847,1,0.0108847,0.0108847,0.0108847,298,1,298,298,298
16,30,47,1,47,47,47,0.199235,1,0.199235,0.199235,0.199235,2233,1,2233,2233,2233
16,30,37,1,37,37,37,0.0587426,1,0.0587426,0.0587426,0.0587426,903,1,903,903,903
16,30,43,1,43,43,43,0.155553,1,0.155553,0.155553,0.155553,1819,1,1819,1819,1819
16,30,34,1,34,34,34,0.0632314,1,0.0632314,0.0632314,0.0632314,1083,1,1083,1083,1083
16,30,41,1,41,41,41,0.0749261,1,0.0749261,0.0749261,0.0749261,1214,1,1214,1214,1214
16,30,25,1,25,25,25,0.0270795,1,0.0270795,0.0270795,0.0270795,417,1,417,417,417
16,30,28,1,28,28,28,0.0381638,1,0.0381638,0.0381638,0.0381638,571,1,571,571,571
16,30,33,1,33,33,33,0.120803,1,0.120803,0.120803,0.120803,1517,1,1517,1517,1517
16,30,28,1,28,28,28,0.0238747,1,0.0238747,0.0238747,0.0238747,426,1,426,426,426
16,30,34,1,34,34,34,0.0202573,1,0.0202573,0.0202573,0.0202573,433,1,433,433,433
16,30,38,1,38,38,38,0.0363824,1,0.0363824,0.0363824,0.0363824,637,1,637,637,637
16,30,35,1,35,35,35,0.0492856,1,0.0492856,0.0492856,0.0492856,880,1,880,880,880
16,30,36,1,36,36,36,0.0250934,1,0.0250934,0.0250934,0.0250934,632,1,632,632,632
16,30,39,1,39,39,39,0.0325479,1,0.0325479,0.0325479,0.0325479,673,1,673,673,673
