n,p,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max
6,80,0.000332957,1,0.000332957,0.000332957,0.000332957,29,1,29,29,29
6,80,0.000368884,1,0.000368884,0.000368884,0.000368884,38,1,38,38,38
6,80,0.000273182,1,0.000273182,0.000273182,0.000273182,29,1,29,29,29
6,80,0.000752337,1,0.000752337,0.000752337,0.000752337,76,1,76,76,76
6,80,0.000297241,1,0.000297241,0.000297241,0.000297241,29,1,29,29,29
6,80,0.000296479,1,0.000296479,0.000296479,0.000296479,29,1,29,29,29
6,80,0.00181019,1,0.00181019,0.00181019,0.00181019,187,1,187,187,187
6,80,0.00035819,1,0.00035819,0.00035819,0.00035819,36,1,36,36,36
6,80,0.000308019,1,0.000308019,0.000308019,0.000308019,29,1,29,29,29
6,80,0.000347317,1,0.000347317,0.000347317,0.000347317,29,1,29,29,29
6,80,0.000286983,1,0.000286983,0.000286983,0.000286983,29,1,29,29,29
6,80,0.000699113,1,0.000699113,0.000699113,0.000699113,76,1,76,76,76
6,80,0.000433133,1,0.000433133,0.000433133,0.000433133,45,1,45,45,45
6,80,0.000346182,1,0.000346182,0.000346182,0.000346182,29,1,29,29,29
6,80,0.000219364,1,0.000219364,0.000219364,0.000219364,20,1,20,20,20
6,80,0.000688227,1,0.000688227,0.000688227,0.000688227,76,1,76,76,76
6,80,0.000180906,1,0.000180906,0.000180906,0.000180906,15,1,15,15,15
6,80,0.000716695,1,0.000716695,0.000716695,0.000716695,76,1,76,76,76
6,80,0.000172866,1,0.000172866,0.000172866,0.000172866,15,1,15,15,15
6,80,0.000688401,1,0.000688401,0.000688401,0.000688401,76,1,76,76,76
6,80,0.000664208,1,0.000664208,0.000664208,0.000664208,76,1,76,76,76
6,80,0.000405123,1,0.000405123,0.000405123,0.000405123,43,1,43,43,43
6,80,0.000497092,1,0.000497092,0.000497092,0.000497092,51,1,51,51,51
6,80,0.000679898,1,0.000679898,0.000679898,0.000679898,76,1,76,76,76
6,80,0.000290768,1,0.000290768,0.000290768,0.000290768,29,1,29,29,29
6,80,0.000338517,1,0.000338517,0.000338517,0.000338517,29,1,29,29,29
6,80,0.000701651,1,0.000701651,0.000701651,0.000701651,76,1,76,76,76
6,80,0.000298708,1,0.000298708,0.000298708,0.000298708,29,1,29,29,29
6,80,0.000290441,1,0.000290441,0.000290441,0.000290441,29,1,29,29,29
6,80,0.00029032,1,0.00029032,0.00029032,0.00029032,29,1,29,29,29
6,80,0.000300397,1,0.000300397,0.000300397,0.000300397,29,1,29,29,29
6,80,0.000272509,1,0.000272509,0.000272509,0.000272509,29,1,29,29,29
6,80,0.000370039,1,0.000370039,0.000370039,0.000370039,38,1,38,38,38
6,80,0.000674532,1,0.000674532,0.000674532,0.000674532,76,1,76,76,76
6,80,0.00047228,1,0.00047228,0.00047228,0.00047228,45,1,45,45,45
6,80,0.000300428,1,0.000300428,0.000300428,0.000300428,29,1,29,29,29
6,80,0.00021609,1,0.00021609,0.00021609,0.00021609,20,1,20,20,20
6,80,0.000311858,1,0.000311858,0.000311858,0.000311858,29,1,29,29,29
6,80,0.000181908,1,0.000181908,0.000181908,0.000181908,15,1,15,15,15
6,80,0.000388905,1,0.000388905,0.000388905,0.000388905,43,1,43,43,43
6,80,0.000174589,1,0.000174589,0.000174589,0.000174589,15,1,15,15,15
6,80,0.000290429,1,0.000290429,0.000290429,0.000290429,29,1,29,29,29
6,80,0.000519404,1,0.000519404,0.000519404,0.000519404,38,1,38,38,38
6,80,0.000249164,1,0.000249164,0.000249164,0.000249164,15,1,15,15,15
6,80,0.000439859,1,0.000439859,0.000439859,0.000439859,29,1,29,29,29
6,80,0.000282018,1,0.000282018,0.000282018,0.000282018,29,1,29,29,29
6,80,0.000212001,1,0.000212001,0.000212001,0.000212001,13,1,13,13,13
6,80,0.00066784,1,0.00066784,0.00066784,0.00066784,76,1,76,76,76
6,80,0.000285348,1,0.000285348,0.000285348,0.000285348,29,1,29,29,29
6,80,0.000656785,1,0.000656785,0.000656785,0.000656785,76,1,76,76,76
6,80,0.000290244,1,0.000290244,0.000290244,0.000290244,29,1,29,29,29
6,80,0.000132094,1,0.000132094,0.000132094,0.000132094,10,1,10,10,10
6,80,0.000657504,1,0.000657504,0.000657504,0.000657504,76,1,76,76,76
6,80,0.000293222,1,0.000293222,0.000293222,0.000293222,29,1,29,29,29
6,80,0.000687576,1,0.000687576,0.000687576,0.000687576,76,1,76,76,76
6,80,0.000657941,1,0.000657941,0.000657941,0.000657941,76,1,76,76,76
6,80,0.000484924,1,0.000484924,0.000484924,0.000484924,51,1,51,51,51
6,80,0.000382809,1,0.000382809,0.000382809,0.000382809,43,1,43,43,43
6,80,0.000279683,1,0.000279683,0.000279683,0.000279683,29,1,29,29,29
6,80,0.000378006,1,0.000378006,0.000378006,0.000378006,43,1,43,43,43
6,80,0.000655444,1,0.000655444,0.000655444,0.000655444,76,1,76,76,76
6,80,0.000676763,1,0.000676763,0.000676763,0.000676763,76,1,76,76,76
6,80,0.000727601,1,0.000727601,0.000727601,0.000727601,76,1,76,76,76
6,80,0.00182592,1,0.00182592,0.00182592,0.00182592,187,1,187,187,187
6,80,0.000358157,1,0.000358157,0.000358157,0.000358157,36,1,36,36,36
6,80,0.000301883,1,0.000301883,0.000301883,0.000301883,29,1,29,29,29
6,80,0.000286285,1,0.000286285,0.000286285,0.000286285,29,1,29,29,29
6,80,0.000391329,1,0.000391329,0.000391329,0.000391329,43,1,43,43,43
6,80,0.000714148,1,0.000714148,0.000714148,0.000714148,76,1,76,76,76
6,80,0.000293468,1,0.000293468,0.000293468,0.000293468,29,1,29,29,29
6,80,0.000306624,1,0.000306624,0.000306624,0.000306624,28,1,28,28,28
6,80,0.000327418,1,0.000327418,0.000327418,0.000327418,29,1,29,29,29
6,80,0.000286353,1,0.000286353,0.000286353,0.000286353,29,1,29,29,29
6,80,0.000672411,1,0.000672411,0.000672411,0.000672411,76,1,76,76,76
6,80,0.000134243,1,0.000134243,0.000134243,0.000134243,10,1,10,10,10
6,80,0.000712869,1,0.000712869,0.000712869,0.000712869,76,1,76,76,76
6,80,0.000330943,1,0.000330943,0.000330943,0.000330943,29,1,29,29,29
6,80,0.000690452,1,0.000690452,0.000690452,0.000690452,76,1,76,76,76
6,80,0.000690743,1,0.000690743,0.000690743,0.000690743,76,1,76,76,76
6,80,0.000325358,1,0.000325358,0.000325358,0.000325358,29,1,29,29,29
6,80,0.000692643,1,0.000692643,0.000692643,0.000692643,76,1,76,76,76
6,80,0.000390345,1,0.000390345,0.000390345,0.000390345,43,1,43,43,43
6,80,0.000325252,1,0.000325252,0.000325252,0.000325252,34,1,34,34,34
6,80,0.000286263,1,0.000286263,0.000286263,0.000286263,29,1,29,29,29
6,80,0.000714583,1,0.000714583,0.000714583,0.000714583,76,1,76,76,76
6,80,0.000134737,1,0.000134737,0.000134737,0.000134737,10,1,10,10,10
6,80,0.000292075,1,0.000292075,0.000292075,0.000292075,29,1,29,29,29
6,80,0.000358484,1,0.000358484,0.000358484,0.000358484,36,1,36,36,36
6,80,0.0017662,1,0.0017662,0.0017662,0.0017662,187,1,187,187,187
6,80,0.000292627,1,0.000292627,0.000292627,0.000292627,29,1,29,29,29
6,80,0.000362646,1,0.000362646,0.000362646,0.000362646,38,1,38,38,38
6,80,0.000736009,1,0.000736009,0.000736009,0.000736009,76,1,76,76,76
6,80,0.000688741,1,0.000688741,0.000688741,0.000688741,76,1,76,76,76
6,80,0.000702192,1,0.000702192,0.000702192,0.000702192,76,1,76,76,76
6,80,0.00070193,1,0.00070193,0.00070193,0.00070193,76,1,76,76,76
6,80,0.000390572,1,0.000390572,0.000390572,0.000390572,43,1,43,43,43
6,80,0.000415562,1,0.000415562,0.000415562,0.000415562,43,1,43,43,43
6,80,0.000209202,1,0.000209202,0.000209202,0.000209202,18,1,18,18,18
6,80,0.000191282,1,0.000191282,0.000191282,0.000191282,15,1,15,15,15
6,80,0.000715066,1,0.000715066,0.000715066,0.000715066,76,1,76,76,76
6,80,0.000686595,1,0.000686595,0.000686595,0.000686595,76,1,76,76,76
6,80,0.000303983,1,0.000303983,0.000303983,0.000303983,29,1,29,29,29
6,80,0.000301169,1,0.000301169,0.000301169,0.000301169,29,1,29,29,29
6,80,0.000671182,1,0.000671182,0.000671182,0.000671182,76,1,76,76,76
6,80,0.000716321,1,0.000716321,0.000716321,0.000716321,76,1,76,76,76
6,80,0.00073461,1,0.00073461,0.00073461,0.00073461,76,1,76,76,76
6,80,0.000713458,1,0.000713458,0.000713458,0.000713458,76,1,76,76,76
6,80,0.000356301,1,0.000356301,0.000356301,0.000356301,38,1,38,38,38
6,80,0.000170256,1,0.000170256,0.000170256,0.000170256,15,1,15,15,15
6,80,0.000713062,1,0.000713062,0.000713062,0.000713062,76,1,76,76,76
6,80,0.000359129,1,0.000359129,0.000359129,0.000359129,36,1,36,36,36
6,80,0.000365546,1,0.000365546,0.000365546,0.000365546,38,1,38,38,38
6,80,0.000730765,1,0.000730765,0.000730765,0.000730765,76,1,76,76,76
6,80,0.000132184,1,0.000132184,0.000132184,0.000132184,10,1,10,10,10
6,80,0.000698259,1,0.000698259,0.000698259,0.000698259,76,1,76,76,76
6,80,0.000298342,1,0.000298342,0.000298342,0.000298342,29,1,29,29,29
