n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
30,70,316,1,316,316,316,2.7952e-05,1,2.7952e-05,2.7952e-05,2.7952e-05,280,1,280,280,280,8,1,8,8,8,9,1,9,9,9,1,1,1,1,1
30,70,306,1,306,306,306,2.3435e-05,1,2.3435e-05,2.3435e-05,2.3435e-05,237,1,237,237,237,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
30,70,303,1,303,303,303,3.2363e-05,1,3.2363e-05,3.2363e-05,3.2363e-05,326,1,326,326,326,8,1,8,8,8,9,1,9,9,9,1,1,1,1,1
30,70,309,1,309,309,309,4.701e-05,1,4.701e-05,4.701e-05,4.701e-05,447,1,447,447,447,9,1,9,9,9,10,1,10,10,10,1,1,1,1,1
30,70,294,1,294,294,294,2.0192e-05,1,2.0192e-05,2.0192e-05,2.0192e-05,201,1,201,201,201,6,1,6,6,6,8,1,8,8,8,2,1,2,2,2
30,70,300,1,300,300,300,3.0806e-05,1,3.0806e-05,3.0806e-05,3.0806e-05,316,1,316,316,316,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
30,70,310,1,310,310,310,2.2371e-05,1,2.2371e-05,2.2371e-05,2.2371e-05,232,1,232,232,232,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
30,70,307,1,307,307,307,2.011e-05,1,2.011e-05,2.011e-05,2.011e-05,207,1,207,207,207,6,1,6,6,6,10,1,10,10,10,4,1,4,4,4
30,70,308,1,308,308,308,2.9665e-05,1,2.9665e-05,2.9665e-05,2.9665e-05,301,1,301,301,301,7,1,7,7,7,10,1,10,10,10,3,1,3,3,3
30,70,291,1,291,291,291,2.5236e-05,1,2.5236e-05,2.5236e-05,2.5236e-05,253,1,253,253,253,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
30,70,307,1,307,307,307,2.9364e-05,1,2.9364e-05,2.9364e-05,2.9364e-05,289,1,289,289,289,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
30,70,303,1,303,303,303,2.8152e-05,1,2.8152e-05,2.8152e-05,2.8152e-05,288,1,288,288,288,7,1,7,7,7,8,1,8,8,8,1,1,1,1,1
30,70,286,1,286,286,286,2.4465e-05,1,2.4465e-05,2.4465e-05,2.4465e-05,243,1,243,243,243,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
30,70,309,1,309,309,309,3.2021e-05,1,3.2021e-05,3.2021e-05,3.2021e-05,317,1,317,317,317,8,1,8,8,8,9,1,9,9,9,1,1,1,1,1
30,70,296,1,296,296,296,2.6001e-05,1,2.6001e-05,2.6001e-05,2.6001e-05,262,1,262,262,262,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
30,70,281,1,281,281,281,2.3376e-05,1,2.3376e-05,2.3376e-05,2.3376e-05,239,1,239,239,239,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
30,70,296,1,296,296,296,2.682e-05,1,2.682e-05,2.682e-05,2.682e-05,266,1,266,266,266,7,1,7,7,7,8,1,8,8,8,1,1,1,1,1
30,70,299,1,299,299,299,3.9372e-05,1,3.9372e-05,3.9372e-05,3.9372e-05,387,1,387,387,387,9,1,9,9,9,9,1,9,9,9,0,1,0,0,0
30,70,295,1,295,295,295,2.4851e-05,1,2.4851e-05,2.4851e-05,2.4851e-05,247,1,247,247,247,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
30,70,306,1,306,306,306,2.9633e-05,1,2.9633e-05,2.9633e-05,2.9633e-05,290,1,290,290,290,8,1,8,8,8,9,1,9,9,9,1,1,1,1,1
30,70,301,1,301,301,301,2.0292e-05,1,2.0292e-05,2.0292e-05,2.0292e-05,204,1,204,204,204,6,1,6,6,6,9,1,9,9,9,3,1,3,3,3
30,70,302,1,302,302,302,2.7974e-05,1,2.7974e-05,2.7974e-05,2.7974e-05,283,1,283,283,283,6,1,6,6,6,9,1,9,9,9,3,1,3,3,3
30,70,302,1,302,302,302,3.4922e-05,1,3.4922e-05,3.4922e-05,3.4922e-05,350,1,350,350,350,8,1,8,8,8,9,1,9,9,9,1,1,1,1,1
30,70,305,1,305,305,305,2.7103e-05,1,2.7103e-05,2.7103e-05,2.7103e-05,270,1,270,270,270,8,1,8,8,8,9,1,9,9,9,1,1,1,1,1
30,70,299,1,299,299,299,2.7424e-05,1,2.7424e-05,2.7424e-05,2.7424e-05,275,1,275,275,275,7,1,7,7,7,8,1,8,8,8,1,1,1,1,1
30,70,298,1,298,298,298,2.3057e-05,1,2.3057e-05,2.3057e-05,2.3057e-05,238,1,238,238,238,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
30,70,294,1,294,294,294,3.1232e-05,1,3.1232e-05,3.1232e-05,3.1232e-05,311,1,311,311,311,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
30,70,286,1,286,286,286,2.8743e-05,1,2.8743e-05,2.8743e-05,2.8743e-05,287,1,287,287,287,8,1,8,8,8,9,1,9,9,9,1,1,1,1,1
30,70,298,1,298,298,298,3.0515e-05,1,3.0515e-05,3.0515e-05,3.0515e-05,309,1,309,309,309,8,1,8,8,8,9,1,9,9,9,1,1,1,1,1
30,70,308,1,308,308,308,2.6844e-05,1,2.6844e-05,2.6844e-05,2.6844e-05,267,1,267,267,267,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
30,70,322,1,322,322,322,3.1082e-05,1,3.1082e-05,3.1082e-05,3.1082e-05,314,1,314,314,314,8,1,8,8,8,11,1,11,11,11,3,1,3,3,3
30,70,296,1,296,296,296,3.0876e-05,1,3.0876e-05,3.0876e-05,3.0876e-05,304,1,304,304,304,8,1,8,8,8,9,1,9,9,9,1,1,1,1,1
30,70,303,1,303,303,303,4.5363e-05,1,4.5363e-05,4.5363e-05,4.5363e-05,327,1,327,327,327,9,1,9,9,9,10,1,10,10,10,1,1,1,1,1
30,70,274,1,274,274,274,2.8304e-05,1,2.8304e-05,2.8304e-05,2.8304e-05,285,1,285,285,285,7,1,7,7,7,8,1,8,8,8,1,1,1,1,1
30,70,331,1,331,331,331,3.0075e-05,1,3.0075e-05,3.0075e-05,3.0075e-05,299,1,299,299,299,8,1,8,8,8,11,1,11,11,11,3,1,3,3,3
30,70,304,1,304,304,304,2.7707e-05,1,2.7707e-05,2.7707e-05,2.7707e-05,285,1,285,285,285,8,1,8,8,8,9,1,9,9,9,1,1,1,1,1
30,70,297,1,297,297,297,3.1083e-05,1,3.1083e-05,3.1083e-05,3.1083e-05,310,1,310,310,310,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
30,70,311,1,311,311,311,2.7049e-05,1,2.7049e-05,2.7049e-05,2.7049e-05,271,1,271,271,271,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
30,70,305,1,305,305,305,2.0154e-05,1,2.0154e-05,2.0154e-05,2.0154e-05,207,1,207,207,207,6,1,6,6,6,9,1,9,9,9,3,1,3,3,3
30,70,307,1,307,307,307,2.2725e-05,1,2.2725e-05,2.2725e-05,2.2725e-05,229,1,229,229,229,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
30,70,301,1,301,301,301,2.9127e-05,1,2.9127e-05,2.9127e-05,2.9127e-05,287,1,287,287,287,8,1,8,8,8,9,1,9,9,9,1,1,1,1,1
30,70,308,1,308,308,308,2.7085e-05,1,2.7085e-05,2.7085e-05,2.7085e-05,262,1,262,262,262,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
30,70,302,1,302,302,302,4.4142e-05,1,4.4142e-05,4.4142e-05,4.4142e-05,445,1,445,445,445,9,1,9,9,9,9,1,9,9,9,0,1,0,0,0
30,70,296,1,296,296,296,2.4923e-05,1,2.4923e-05,2.4923e-05,2.4923e-05,254,1,254,254,254,7,1,7,7,7,8,1,8,8,8,1,1,1,1,1
30,70,301,1,301,301,301,3.3222e-05,1,3.3222e-05,3.3222e-05,3.3222e-05,335,1,335,335,335,8,1,8,8,8,11,1,11,11,11,3,1,3,3,3
30,70,309,1,309,309,309,2.4812e-05,1,2.4812e-05,2.4812e-05,2.4812e-05,245,1,245,245,245,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
30,70,324,1,324,324,324,3.3162e-05,1,3.3162e-05,3.3162e-05,3.3162e-05,334,1,334,334,334,8,1,8,8,8,9,1,9,9,9,1,1,1,1,1
30,70,320,1,320,320,320,2.1632e-05,1,2.1632e-05,2.1632e-05,2.1632e-05,222,1,222,222,222,7,1,7,7,7,10,1,10,10,10,3,1,3,3,3
30,70,295,1,295,295,295,2.6018e-05,1,2.6018e-05,2.6018e-05,2.6018e-05,266,1,266,266,266,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
30,70,303,1,303,303,303,2.4074e-05,1,2.4074e-05,2.4074e-05,2.4074e-05,241,1,241,241,241,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
30,70,307,1,307,307,307,2.8074e-05,1,2.8074e-05,2.8074e-05,2.8074e-05,272,1,272,272,272,8,1,8,8,8,9,1,9,9,9,1,1,1,1,1
30,70,302,1,302,302,302,2.8948e-05,1,2.8948e-05,2.8948e-05,2.8948e-05,291,1,291,291,291,9,1,9,9,9,9,1,9,9,9,0,1,0,0,0
30,70,301,1,301,301,301,3.5095e-05,1,3.5095e-05,3.5095e-05,3.5095e-05,345,1,345,345,345,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
30,70,288,1,288,288,288,2.1524e-05,1,2.1524e-05,2.1524e-05,2.1524e-05,215,1,215,215,215,7,1,7,7,7,8,1,8,8,8,1,1,1,1,1
