n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
8,20,0.000222243,1,0.000222243,0.000222243,0.000222243,32,1,32,32,32,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000314194,1,0.000314194,0.000314194,0.000314194,35,1,35,35,35,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
8,20,0.000271618,1,0.000271618,0.000271618,0.000271618,32,1,32,32,32,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000291865,1,0.000291865,0.000291865,0.000291865,31,1,31,31,31,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000273375,1,0.000273375,0.000273375,0.000273375,34,1,34,34,34,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
8,20,0.000239666,1,0.000239666,0.000239666,0.000239666,31,1,31,31,31,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000277418,1,0.000277418,0.000277418,0.000277418,31,1,31,31,31,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000332549,1,0.000332549,0.000332549,0.000332549,31,1,31,31,31,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000236158,1,0.000236158,0.000236158,0.000236158,30,1,30,30,30,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000209445,1,0.000209445,0.000209445,0.000209445,30,1,30,30,30,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000193558,1,0.000193558,0.000193558,0.000193558,30,1,30,30,30,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000233081,1,0.000233081,0.000233081,0.000233081,33,1,33,33,33,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000359603,1,0.000359603,0.000359603,0.000359603,35,1,35,35,35,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
8,20,0.00038487,1,0.00038487,0.00038487,0.00038487,34,1,34,34,34,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
8,20,0.000290891,1,0.000290891,0.000290891,0.000290891,32,1,32,32,32,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000280186,1,0.000280186,0.000280186,0.000280186,32,1,32,32,32,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000261387,1,0.000261387,0.000261387,0.000261387,33,1,33,33,33,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
8,20,0.00030345,1,0.00030345,0.00030345,0.00030345,32,1,32,32,32,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000241865,1,0.000241865,0.000241865,0.000241865,32,1,32,32,32,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000489433,1,0.000489433,0.000489433,0.000489433,33,1,33,33,33,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
8,20,0.000191833,1,0.000191833,0.000191833,0.000191833,31,1,31,31,31,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000310459,1,0.000310459,0.000310459,0.000310459,31,1,31,31,31,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000292467,1,0.000292467,0.000292467,0.000292467,31,1,31,31,31,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000408464,1,0.000408464,0.000408464,0.000408464,32,1,32,32,32,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000285949,1,0.000285949,0.000285949,0.000285949,33,1,33,33,33,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
8,20,0.000369069,1,0.000369069,0.000369069,0.000369069,31,1,31,31,31,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000257747,1,0.000257747,0.000257747,0.000257747,32,1,32,32,32,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000220227,1,0.000220227,0.000220227,0.000220227,30,1,30,30,30,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000261483,1,0.000261483,0.000261483,0.000261483,34,1,34,34,34,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
8,20,0.000305849,1,0.000305849,0.000305849,0.000305849,31,1,31,31,31,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.00031241,1,0.00031241,0.00031241,0.00031241,33,1,33,33,33,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
8,20,0.000224458,1,0.000224458,0.000224458,0.000224458,33,1,33,33,33,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
8,20,0.000192066,1,0.000192066,0.000192066,0.000192066,32,1,32,32,32,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000280834,1,0.000280834,0.000280834,0.000280834,33,1,33,33,33,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
8,20,0.000219976,1,0.000219976,0.000219976,0.000219976,31,1,31,31,31,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000183503,1,0.000183503,0.000183503,0.000183503,30,1,30,30,30,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000194527,1,0.000194527,0.000194527,0.000194527,33,1,33,33,33,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
8,20,0.000306742,1,0.000306742,0.000306742,0.000306742,33,1,33,33,33,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
8,20,0.000356963,1,0.000356963,0.000356963,0.000356963,31,1,31,31,31,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000187209,1,0.000187209,0.000187209,0.000187209,31,1,31,31,31,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.0001872,1,0.0001872,0.0001872,0.0001872,30,1,30,30,30,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000297654,1,0.000297654,0.000297654,0.000297654,31,1,31,31,31,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000420611,1,0.000420611,0.000420611,0.000420611,34,1,34,34,34,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
8,20,0.000349702,1,0.000349702,0.000349702,0.000349702,31,1,31,31,31,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000212516,1,0.000212516,0.000212516,0.000212516,31,1,31,31,31,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000196621,1,0.000196621,0.000196621,0.000196621,34,1,34,34,34,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
8,20,0.000293011,1,0.000293011,0.000293011,0.000293011,32,1,32,32,32,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000242244,1,0.000242244,0.000242244,0.000242244,33,1,33,33,33,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000278138,1,0.000278138,0.000278138,0.000278138,32,1,32,32,32,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000234107,1,0.000234107,0.000234107,0.000234107,32,1,32,32,32,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000307059,1,0.000307059,0.000307059,0.000307059,33,1,33,33,33,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000368215,1,0.000368215,0.000368215,0.000368215,31,1,31,31,31,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.00038041,1,0.00038041,0.00038041,0.00038041,35,1,35,35,35,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
8,20,0.000495222,1,0.000495222,0.000495222,0.000495222,32,1,32,32,32,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000283324,1,0.000283324,0.000283324,0.000283324,33,1,33,33,33,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
8,20,0.000386216,1,0.000386216,0.000386216,0.000386216,35,1,35,35,35,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
8,20,0.000368814,1,0.000368814,0.000368814,0.000368814,36,1,36,36,36,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
