n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
15,80,0.0130347,1,0.0130347,0.0130347,0.0130347,246,1,246,246,246,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.0105739,1,0.0105739,0.0105739,0.0105739,272,1,272,272,272,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00425952,1,0.00425952,0.00425952,0.00425952,311,1,311,311,311,9,1,9,9,9,9,1,9,9,9,0,1,0,0,0
15,80,0.00417217,1,0.00417217,0.00417217,0.00417217,237,1,237,237,237,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
15,80,0.0157703,1,0.0157703,0.0157703,0.0157703,263,1,263,263,263,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
15,80,0.00292559,1,0.00292559,0.00292559,0.00292559,281,1,281,281,281,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00280729,1,0.00280729,0.00280729,0.00280729,249,1,249,249,249,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00246823,1,0.00246823,0.00246823,0.00246823,254,1,254,254,254,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
15,80,0.00585769,1,0.00585769,0.00585769,0.00585769,252,1,252,252,252,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00593207,1,0.00593207,0.00593207,0.00593207,290,1,290,290,290,9,1,9,9,9,9,1,9,9,9,0,1,0,0,0
15,80,0.00288458,1,0.00288458,0.00288458,0.00288458,343,1,343,343,343,10,1,10,10,10,10,1,10,10,10,0,1,0,0,0
15,80,0.0082183,1,0.0082183,0.0082183,0.0082183,296,1,296,296,296,9,1,9,9,9,8,1,8,8,8,1,1,1,1,1
15,80,0.00293473,1,0.00293473,0.00293473,0.00293473,223,1,223,223,223,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
