n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max
24,20,0.000191541,1,0.000191541,0.000191541,0.000191541,362,1,362,362,362,4,1,4,4,4
24,20,0.000187544,1,0.000187544,0.000187544,0.000187544,385,1,385,385,385,4,1,4,4,4
24,20,0.000124886,1,0.000124886,0.000124886,0.000124886,355,1,355,355,355,4,1,4,4,4
24,20,0.000101871,1,0.000101871,0.000101871,0.000101871,339,1,339,339,339,5,1,5,5,5
24,20,8.5001e-05,1,8.5001e-05,8.5001e-05,8.5001e-05,339,1,339,339,339,4,1,4,4,4
24,20,0.000155751,1,0.000155751,0.000155751,0.000155751,357,1,357,357,357,4,1,4,4,4
24,20,0.000191435,1,0.000191435,0.000191435,0.000191435,367,1,367,367,367,5,1,5,5,5
24,20,9.0011e-05,1,9.0011e-05,9.0011e-05,9.0011e-05,340,1,340,340,340,4,1,4,4,4
24,20,0.000161938,1,0.000161938,0.000161938,0.000161938,366,1,366,366,366,4,1,4,4,4
24,20,0.000140998,1,0.000140998,0.000140998,0.000140998,367,1,367,367,367,5,1,5,5,5
24,20,0.000129122,1,0.000129122,0.000129122,0.000129122,343,1,343,343,343,4,1,4,4,4
24,20,9.2629e-05,1,9.2629e-05,9.2629e-05,9.2629e-05,324,1,324,324,324,4,1,4,4,4
24,20,7.2322e-05,1,7.2322e-05,7.2322e-05,7.2322e-05,323,1,323,323,323,4,1,4,4,4
24,20,0.000148379,1,0.000148379,0.000148379,0.000148379,372,1,372,372,372,4,1,4,4,4
24,20,0.000125086,1,0.000125086,0.000125086,0.000125086,363,1,363,363,363,4,1,4,4,4
24,20,4.263e-05,1,4.263e-05,4.263e-05,4.263e-05,304,1,304,304,304,4,1,4,4,4
24,20,8.3696e-05,1,8.3696e-05,8.3696e-05,8.3696e-05,337,1,337,337,337,4,1,4,4,4
24,20,0.000137619,1,0.000137619,0.000137619,0.000137619,361,1,361,361,361,5,1,5,5,5
24,20,0.000148314,1,0.000148314,0.000148314,0.000148314,370,1,370,370,370,5,1,5,5,5
24,20,0.000225124,1,0.000225124,0.000225124,0.000225124,393,1,393,393,393,5,1,5,5,5
24,20,0.000123423,1,0.000123423,0.000123423,0.000123423,356,1,356,356,356,5,1,5,5,5
24,20,0.000184553,1,0.000184553,0.000184553,0.000184553,373,1,373,373,373,4,1,4,4,4
24,20,0.000126602,1,0.000126602,0.000126602,0.000126602,348,1,348,348,348,4,1,4,4,4
24,20,8.7245e-05,1,8.7245e-05,8.7245e-05,8.7245e-05,322,1,322,322,322,4,1,4,4,4
24,20,8.9177e-05,1,8.9177e-05,8.9177e-05,8.9177e-05,328,1,328,328,328,4,1,4,4,4
24,20,9.1993e-05,1,9.1993e-05,9.1993e-05,9.1993e-05,330,1,330,330,330,4,1,4,4,4
24,20,8.2457e-05,1,8.2457e-05,8.2457e-05,8.2457e-05,332,1,332,332,332,4,1,4,4,4
24,20,0.000114623,1,0.000114623,0.000114623,0.000114623,340,1,340,340,340,4,1,4,4,4
24,20,6.3494e-05,1,6.3494e-05,6.3494e-05,6.3494e-05,319,1,319,319,319,4,1,4,4,4
24,20,0.000184268,1,0.000184268,0.000184268,0.000184268,382,1,382,382,382,5,1,5,5,5
24,20,6.0795e-05,1,6.0795e-05,6.0795e-05,6.0795e-05,314,1,314,314,314,3,1,3,3,3
24,20,0.000156045,1,0.000156045,0.000156045,0.000156045,362,1,362,362,362,4,1,4,4,4
24,20,0.000101595,1,0.000101595,0.000101595,0.000101595,341,1,341,341,341,4,1,4,4,4
24,20,0.000158371,1,0.000158371,0.000158371,0.000158371,370,1,370,370,370,5,1,5,5,5
24,20,7.7301e-05,1,7.7301e-05,7.7301e-05,7.7301e-05,323,1,323,323,323,4,1,4,4,4
24,20,0.000146229,1,0.000146229,0.000146229,0.000146229,349,1,349,349,349,4,1,4,4,4
24,20,0.000130209,1,0.000130209,0.000130209,0.000130209,365,1,365,365,365,4,1,4,4,4
24,20,7.1922e-05,1,7.1922e-05,7.1922e-05,7.1922e-05,323,1,323,323,323,4,1,4,4,4
24,20,0.000127388,1,0.000127388,0.000127388,0.000127388,346,1,346,346,346,4,1,4,4,4
24,20,0.000125876,1,0.000125876,0.000125876,0.000125876,359,1,359,359,359,3,1,3,3,3
24,20,0.000200384,1,0.000200384,0.000200384,0.000200384,383,1,383,383,383,4,1,4,4,4
24,20,0.000160855,1,0.000160855,0.000160855,0.000160855,395,1,395,395,395,4,1,4,4,4
24,20,0.000109139,1,0.000109139,0.000109139,0.000109139,335,1,335,335,335,4,1,4,4,4
24,20,0.000113433,1,0.000113433,0.000113433,0.000113433,349,1,349,349,349,4,1,4,4,4
24,20,0.000266112,1,0.000266112,0.000266112,0.000266112,397,1,397,397,397,5,1,5,5,5
24,20,0.000154706,1,0.000154706,0.000154706,0.000154706,343,1,343,343,343,5,1,5,5,5
24,20,0.000102811,1,0.000102811,0.000102811,0.000102811,324,1,324,324,324,4,1,4,4,4
24,20,0.000104838,1,0.000104838,0.000104838,0.000104838,326,1,326,326,326,4,1,4,4,4
24,20,0.000183518,1,0.000183518,0.000183518,0.000183518,400,1,400,400,400,4,1,4,4,4
24,20,7.3357e-05,1,7.3357e-05,7.3357e-05,7.3357e-05,325,1,325,325,325,4,1,4,4,4
24,20,8.1378e-05,1,8.1378e-05,8.1378e-05,8.1378e-05,325,1,325,325,325,4,1,4,4,4
24,20,9.8562e-05,1,9.8562e-05,9.8562e-05,9.8562e-05,345,1,345,345,345,4,1,4,4,4
24,20,0.000130111,1,0.000130111,0.000130111,0.000130111,357,1,357,357,357,3,1,3,3,3
24,20,0.000131885,1,0.000131885,0.000131885,0.000131885,357,1,357,357,357,5,1,5,5,5
24,20,8.1063e-05,1,8.1063e-05,8.1063e-05,8.1063e-05,323,1,323,323,323,4,1,4,4,4
24,20,8.9232e-05,1,8.9232e-05,8.9232e-05,8.9232e-05,332,1,332,332,332,4,1,4,4,4
24,20,0.000153972,1,0.000153972,0.000153972,0.000153972,355,1,355,355,355,5,1,5,5,5
24,20,0.000117428,1,0.000117428,0.000117428,0.000117428,348,1,348,348,348,4,1,4,4,4
24,20,0.000124573,1,0.000124573,0.000124573,0.000124573,341,1,341,341,341,4,1,4,4,4
24,20,0.000153437,1,0.000153437,0.000153437,0.000153437,356,1,356,356,356,4,1,4,4,4
24,20,0.000202818,1,0.000202818,0.000202818,0.000202818,359,1,359,359,359,4,1,4,4,4
24,20,0.000188342,1,0.000188342,0.000188342,0.000188342,364,1,364,364,364,5,1,5,5,5
24,20,9.7332e-05,1,9.7332e-05,9.7332e-05,9.7332e-05,346,1,346,346,346,4,1,4,4,4
24,20,9.3032e-05,1,9.3032e-05,9.3032e-05,9.3032e-05,336,1,336,336,336,4,1,4,4,4
24,20,0.000176565,1,0.000176565,0.000176565,0.000176565,387,1,387,387,387,4,1,4,4,4
24,20,9.9601e-05,1,9.9601e-05,9.9601e-05,9.9601e-05,329,1,329,329,329,4,1,4,4,4
24,20,0.000108471,1,0.000108471,0.000108471,0.000108471,344,1,344,344,344,4,1,4,4,4
24,20,9.1807e-05,1,9.1807e-05,9.1807e-05,9.1807e-05,337,1,337,337,337,4,1,4,4,4
