n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
15,20,0.000171332,1,0.000171332,0.000171332,0.000171332,119,1,119,119,119,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000130453,1,0.000130453,0.000130453,0.000130453,117,1,117,117,117,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.0001585,1,0.0001585,0.0001585,0.0001585,133,1,133,133,133,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.00194444,1,0.00194444,0.00194444,0.00194444,135,1,135,135,135,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000343263,1,0.000343263,0.000343263,0.000343263,140,1,140,140,140,4,1,4,4,4,3,1,3,3,3,1,1,1,1,1
15,20,0.000152357,1,0.000152357,0.000152357,0.000152357,130,1,130,130,130,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000128948,1,0.000128948,0.000128948,0.000128948,119,1,119,119,119,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000119601,1,0.000119601,0.000119601,0.000119601,116,1,116,116,116,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000110218,1,0.000110218,0.000110218,0.000110218,113,1,113,113,113,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000333698,1,0.000333698,0.000333698,0.000333698,142,1,142,142,142,4,1,4,4,4,3,1,3,3,3,1,1,1,1,1
15,20,0.000152148,1,0.000152148,0.000152148,0.000152148,128,1,128,128,128,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.00065986,1,0.00065986,0.00065986,0.00065986,169,1,169,169,169,5,1,5,5,5,4,1,4,4,4,1,1,1,1,1
