n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
15,40,39,1,39,39,39,0.000235992,1,0.000235992,0.000235992,0.000235992,129,1,129,129,129,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,40,44,1,44,44,44,0.000229123,1,0.000229123,0.000229123,0.000229123,124,1,124,124,124,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,40,42,1,42,42,42,0.000234826,1,0.000234826,0.000234826,0.000234826,128,1,128,128,128,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,40,44,1,44,44,44,0.0110559,1,0.0110559,0.0110559,0.0110559,126,1,126,126,126,5,1,5,5,5,4,1,4,4,4,1,1,1,1,1
15,40,46,1,46,46,46,0.00263799,1,0.00263799,0.00263799,0.00263799,132,1,132,132,132,6,1,6,6,6,5,1,5,5,5,1,1,1,1,1
15,40,34,1,34,34,34,0.000200092,1,0.000200092,0.000200092,0.000200092,129,1,129,129,129,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,40,48,1,48,48,48,0.101522,1,0.101522,0.101522,0.101522,132,1,132,132,132,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
15,40,41,1,41,41,41,0.00240486,1,0.00240486,0.00240486,0.00240486,128,1,128,128,128,5,1,5,5,5,4,1,4,4,4,1,1,1,1,1
15,40,41,1,41,41,41,0.000269058,1,0.000269058,0.000269058,0.000269058,129,1,129,129,129,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,40,41,1,41,41,41,0.000262516,1,0.000262516,0.000262516,0.000262516,125,1,125,125,125,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
