n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max
30,80,7.7861e-05,1,7.7861e-05,7.7861e-05,7.7861e-05,624,1,624,624,624,14,1,14,14,14
30,80,7.4604e-05,1,7.4604e-05,7.4604e-05,7.4604e-05,604,1,604,604,604,13,1,13,13,13
30,80,7.3434e-05,1,7.3434e-05,7.3434e-05,7.3434e-05,623,1,623,623,623,13,1,13,13,13
30,80,7.3707e-05,1,7.3707e-05,7.3707e-05,7.3707e-05,617,1,617,617,617,14,1,14,14,14
30,80,7.3469e-05,1,7.3469e-05,7.3469e-05,7.3469e-05,615,1,615,615,615,14,1,14,14,14
30,80,7.3619e-05,1,7.3619e-05,7.3619e-05,7.3619e-05,618,1,618,618,618,13,1,13,13,13
30,80,7.2931e-05,1,7.2931e-05,7.2931e-05,7.2931e-05,610,1,610,610,610,12,1,12,12,12
30,80,7.318e-05,1,7.318e-05,7.318e-05,7.318e-05,605,1,605,605,605,13,1,13,13,13
30,80,7.3037e-05,1,7.3037e-05,7.3037e-05,7.3037e-05,617,1,617,617,617,14,1,14,14,14
30,80,7.3193e-05,1,7.3193e-05,7.3193e-05,7.3193e-05,620,1,620,620,620,13,1,13,13,13
30,80,7.4806e-05,1,7.4806e-05,7.4806e-05,7.4806e-05,624,1,624,624,624,14,1,14,14,14
30,80,7.5411e-05,1,7.5411e-05,7.5411e-05,7.5411e-05,604,1,604,604,604,13,1,13,13,13
30,80,7.3009e-05,1,7.3009e-05,7.3009e-05,7.3009e-05,625,1,625,625,625,14,1,14,14,14
30,80,7.2809e-05,1,7.2809e-05,7.2809e-05,7.2809e-05,622,1,622,622,622,13,1,13,13,13
30,80,7.425e-05,1,7.425e-05,7.425e-05,7.425e-05,622,1,622,622,622,13,1,13,13,13
30,80,7.3237e-05,1,7.3237e-05,7.3237e-05,7.3237e-05,628,1,628,628,628,13,1,13,13,13
30,80,7.3248e-05,1,7.3248e-05,7.3248e-05,7.3248e-05,607,1,607,607,607,13,1,13,13,13
30,80,7.3914e-05,1,7.3914e-05,7.3914e-05,7.3914e-05,616,1,616,616,616,13,1,13,13,13
30,80,8.3971e-05,1,8.3971e-05,8.3971e-05,8.3971e-05,604,1,604,604,604,14,1,14,14,14
30,80,7.3748e-05,1,7.3748e-05,7.3748e-05,7.3748e-05,613,1,613,613,613,13,1,13,13,13
30,80,7.3815e-05,1,7.3815e-05,7.3815e-05,7.3815e-05,636,1,636,636,636,14,1,14,14,14
30,80,7.1365e-05,1,7.1365e-05,7.1365e-05,7.1365e-05,607,1,607,607,607,13,1,13,13,13
30,80,7.189e-05,1,7.189e-05,7.189e-05,7.189e-05,610,1,610,610,610,14,1,14,14,14
30,80,7.2438e-05,1,7.2438e-05,7.2438e-05,7.2438e-05,578,1,578,578,578,11,1,11,11,11
30,80,7.0893e-05,1,7.0893e-05,7.0893e-05,7.0893e-05,611,1,611,611,611,13,1,13,13,13
30,80,7.1121e-05,1,7.1121e-05,7.1121e-05,7.1121e-05,579,1,579,579,579,12,1,12,12,12
30,80,7.1137e-05,1,7.1137e-05,7.1137e-05,7.1137e-05,605,1,605,605,605,12,1,12,12,12
30,80,7.1262e-05,1,7.1262e-05,7.1262e-05,7.1262e-05,603,1,603,603,603,13,1,13,13,13
30,80,7.138e-05,1,7.138e-05,7.138e-05,7.138e-05,612,1,612,612,612,14,1,14,14,14
30,80,7.1906e-05,1,7.1906e-05,7.1906e-05,7.1906e-05,618,1,618,618,618,13,1,13,13,13
30,80,6.9831e-05,1,6.9831e-05,6.9831e-05,6.9831e-05,619,1,619,619,619,14,1,14,14,14
30,80,7.2415e-05,1,7.2415e-05,7.2415e-05,7.2415e-05,634,1,634,634,634,14,1,14,14,14
30,80,7.0922e-05,1,7.0922e-05,7.0922e-05,7.0922e-05,614,1,614,614,614,14,1,14,14,14
30,80,7.4757e-05,1,7.4757e-05,7.4757e-05,7.4757e-05,635,1,635,635,635,14,1,14,14,14
30,80,7.3923e-05,1,7.3923e-05,7.3923e-05,7.3923e-05,613,1,613,613,613,13,1,13,13,13
30,80,7.4783e-05,1,7.4783e-05,7.4783e-05,7.4783e-05,628,1,628,628,628,14,1,14,14,14
30,80,7.3294e-05,1,7.3294e-05,7.3294e-05,7.3294e-05,632,1,632,632,632,15,1,15,15,15
30,80,7.4529e-05,1,7.4529e-05,7.4529e-05,7.4529e-05,632,1,632,632,632,14,1,14,14,14
30,80,7.6209e-05,1,7.6209e-05,7.6209e-05,7.6209e-05,620,1,620,620,620,14,1,14,14,14
30,80,7.3715e-05,1,7.3715e-05,7.3715e-05,7.3715e-05,615,1,615,615,615,14,1,14,14,14
30,80,7.3479e-05,1,7.3479e-05,7.3479e-05,7.3479e-05,615,1,615,615,615,13,1,13,13,13
30,80,7.3026e-05,1,7.3026e-05,7.3026e-05,7.3026e-05,619,1,619,619,619,14,1,14,14,14
30,80,7.4212e-05,1,7.4212e-05,7.4212e-05,7.4212e-05,623,1,623,623,623,14,1,14,14,14
30,80,7.3717e-05,1,7.3717e-05,7.3717e-05,7.3717e-05,601,1,601,601,601,13,1,13,13,13
30,80,7.3855e-05,1,7.3855e-05,7.3855e-05,7.3855e-05,624,1,624,624,624,13,1,13,13,13
30,80,7.1632e-05,1,7.1632e-05,7.1632e-05,7.1632e-05,593,1,593,593,593,12,1,12,12,12
30,80,7.229e-05,1,7.229e-05,7.229e-05,7.229e-05,620,1,620,620,620,13,1,13,13,13
30,80,7.3432e-05,1,7.3432e-05,7.3432e-05,7.3432e-05,611,1,611,611,611,14,1,14,14,14
30,80,7.3397e-05,1,7.3397e-05,7.3397e-05,7.3397e-05,623,1,623,623,623,14,1,14,14,14
30,80,7.4951e-05,1,7.4951e-05,7.4951e-05,7.4951e-05,625,1,625,625,625,14,1,14,14,14
30,80,7.4505e-05,1,7.4505e-05,7.4505e-05,7.4505e-05,633,1,633,633,633,14,1,14,14,14
30,80,7.4068e-05,1,7.4068e-05,7.4068e-05,7.4068e-05,624,1,624,624,624,14,1,14,14,14
30,80,7.497e-05,1,7.497e-05,7.497e-05,7.497e-05,629,1,629,629,629,15,1,15,15,15
30,80,7.1457e-05,1,7.1457e-05,7.1457e-05,7.1457e-05,592,1,592,592,592,12,1,12,12,12
30,80,7.4574e-05,1,7.4574e-05,7.4574e-05,7.4574e-05,601,1,601,601,601,13,1,13,13,13
30,80,7.3636e-05,1,7.3636e-05,7.3636e-05,7.3636e-05,603,1,603,603,603,13,1,13,13,13
30,80,7.2489e-05,1,7.2489e-05,7.2489e-05,7.2489e-05,596,1,596,596,596,12,1,12,12,12
30,80,7.2277e-05,1,7.2277e-05,7.2277e-05,7.2277e-05,593,1,593,593,593,12,1,12,12,12
30,80,7.5035e-05,1,7.5035e-05,7.5035e-05,7.5035e-05,614,1,614,614,614,14,1,14,14,14
