n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,calls_total,calls_count,calls_mean,calls_min,calls_max,depth_total,depth_count,depth_mean,depth_min,depth_max,lower_bound_total,lower_bound_count,lower_bound_mean,lower_bound_min,lower_bound_max,upper_bound_total,upper_bound_count,upper_bound_mean,upper_bound_min,upper_bound_max,number_total,number_count,number_mean,number_min,number_max,match_tries,match_hits,match_pct,edge_threshold_tries,edge_threshold_hits,edge_threshold_pct,small_degree_tries,small_degree_hits,small_degree_pct,neighborhood_subset_tries,neighborhood_subset_hits,neighborhood_subset_pct,common_neighbors_tries,common_neighbors_hits,common_neighbors_pct
10,60,30,1,30,30,30,0.000139373,1,0.000139373,0.000139373,0.000139373,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,23,1,23,23,23,8.349e-05,1,8.349e-05,8.349e-05,8.349e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,27,1,27,27,27,8.8308e-05,1,8.8308e-05,8.8308e-05,8.8308e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,6,1,6,6,6,6,1,6,6,6,6,1,6,6,6,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,23,1,23,23,23,0.00039895,1,0.00039895,0.00039895,0.00039895,68,1,68,68,68,3,1,3,3,3,2,1,2,2,2,3,1,3,3,3,4,1,4,4,4,4,1,4,4,4,1,0,0,10,2,20,8,2,25,6,5,83.3,1,0,0
10,60,31,1,31,31,31,0.000114113,1,0.000114113,0.000114113,0.000114113,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,32,1,32,32,32,0.000100826,1,0.000100826,0.000100826,0.000100826,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,6,1,6,6,6,6,1,6,6,6,6,1,6,6,6,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,28,1,28,28,28,9.0487e-05,1,9.0487e-05,9.0487e-05,9.0487e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,6,1,6,6,6,6,1,6,6,6,6,1,6,6,6,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,25,1,25,25,25,9.0176e-05,1,9.0176e-05,9.0176e-05,9.0176e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,27,1,27,27,27,9.2105e-05,1,9.2105e-05,9.2105e-05,9.2105e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,31,1,31,31,31,0.00010191,1,0.00010191,0.00010191,0.00010191,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,25,1,25,25,25,8.8194e-05,1,8.8194e-05,8.8194e-05,8.8194e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,27,1,27,27,27,8.5344e-05,1,8.5344e-05,8.5344e-05,8.5344e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,27,1,27,27,27,9.032e-05,1,9.032e-05,9.032e-05,9.032e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,18,1,18,18,18,0.000299823,1,0.000299823,0.000299823,0.000299823,62,1,62,62,62,3,1,3,3,3,2,1,2,2,2,3,1,3,3,3,4,1,4,4,4,3,1,3,3,3,1,0,0,9,1,11.1,8,3,37.5,5,4,80,1,0,0
10,60,27,1,27,27,27,0.000100121,1,0.000100121,0.000100121,0.000100121,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,29,1,29,29,29,0.000119206,1,0.000119206,0.000119206,0.000119206,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,26,1,26,26,26,9.4917e-05,1,9.4917e-05,9.4917e-05,9.4917e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,29,1,29,29,29,0.000102194,1,0.000102194,0.000102194,0.000102194,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,27,1,27,27,27,9.5304e-05,1,9.5304e-05,9.5304e-05,9.5304e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,30,1,30,30,30,0.000614019,1,0.000614019,0.000614019,0.000614019,91,1,91,91,91,5,1,5,5,5,3,1,3,3,3,4,1,4,4,4,5,1,5,5,5,5,1,5,5,5,1,0,0,13,3,23.1,10,2,20,8,6,75,2,0,0
10,60,26,1,26,26,26,8.6888e-05,1,8.6888e-05,8.6888e-05,8.6888e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,23,1,23,23,23,7.9469e-05,1,7.9469e-05,7.9469e-05,7.9469e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,30,1,30,30,30,0.000102451,1,0.000102451,0.000102451,0.000102451,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,23,1,23,23,23,8.3058e-05,1,8.3058e-05,8.3058e-05,8.3058e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,29,1,29,29,29,9.1401e-05,1,9.1401e-05,9.1401e-05,9.1401e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,32,1,32,32,32,0.000106788,1,0.000106788,0.000106788,0.000106788,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,29,1,29,29,29,0.0011797,1,0.0011797,0.0011797,0.0011797,171,1,171,171,171,9,1,9,9,9,5,1,5,5,5,4,1,4,4,4,5,1,5,5,5,5,1,5,5,5,1,0,0,25,5,20,20,6,30,14,10,71.4,4,0,0
10,60,24,1,24,24,24,8.8376e-05,1,8.8376e-05,8.8376e-05,8.8376e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,31,1,31,31,31,0.000105291,1,0.000105291,0.000105291,0.000105291,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,28,1,28,28,28,9.5578e-05,1,9.5578e-05,9.5578e-05,9.5578e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,30,1,30,30,30,0.000100463,1,0.000100463,0.000100463,0.000100463,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
