n,p,quick_total,quick_count,quick_mean,quick_min,quick_max,wang_total,wang_count,wang_mean,wang_min,wang_max,zykov_total,zykov_count,zykov_mean,zykov_min,zykov_max
18,40,0.0849148,1,0.0849148,0.0849148,0.0849148,0.0786394,1,0.0786394,0.0786394,0.0786394,0.0223768,1,0.0223768,0.0223768,0.0223768
18,40,3.86854,1,3.86854,3.86854,3.86854,3.84442,1,3.84442,3.84442,3.84442,3.77472,1,3.77472,3.77472,3.77472
18,40,0.291872,1,0.291872,0.291872,0.291872,0.288712,1,0.288712,0.288712,0.288712,0.250286,1,0.250286,0.250286,0.250286
18,40,0.0518056,1,0.0518056,0.0518056,0.0518056,0.0470086,1,0.0470086,0.0470086,0.0470086,0.0233754,1,0.0233754,0.0233754,0.0233754
18,40,0.13982,1,0.13982,0.13982,0.13982,0.110896,1,0.110896,0.110896,0.110896,0.0815903,1,0.0815903,0.0815903,0.0815903
18,40,0.255179,1,0.255179,0.255179,0.255179,0.173362,1,0.173362,0.173362,0.173362,0.0787773,1,0.0787773,0.0787773,0.0787773
18,40,0.0633154,1,0.0633154,0.0633154,0.0633154,0.0400834,1,0.0400834,0.0400834,0.0400834,0.025643,1,0.025643,0.025643,0.025643
18,40,0.863666,1,0.863666,0.863666,0.863666,0.861352,1,0.861352,0.861352,0.861352,0.848633,1,0.848633,0.848633,0.848633
18,40,0.194492,1,0.194492,0.194492,0.194492,0.192481,1,0.192481,0.192481,0.192481,0.178365,1,0.178365,0.178365,0.178365
18,40,0.104798,1,0.104798,0.104798,0.104798,0.0843751,1,0.0843751,0.0843751,0.0843751,0.05363,1,0.05363,0.05363,0.05363
18,40,0.582642,1,0.582642,0.582642,0.582642,0.573651,1,0.573651,0.573651,0.573651,0.490993,1,0.490993,0.490993,0.490993
18,40,0.144786,1,0.144786,0.144786,0.144786,0.127016,1,0.127016,0.127016,0.127016,0.0779195,1,0.0779195,0.0779195,0.0779195
18,40,2.54853,1,2.54853,2.54853,2.54853,2.54631,1,2.54631,2.54631,2.54631,2.51201,1,2.51201,2.51201,2.51201
18,40,0.452222,1,0.452222,0.452222,0.452222,0.44406,1,0.44406,0.44406,0.44406,0.340709,1,0.340709,0.340709,0.340709
18,40,1.57756,1,1.57756,1.57756,1.57756,1.56183,1,1.56183,1.56183,1.56183,1.50276,1,1.50276,1.50276,1.50276
18,40,2.32965,1,2.32965,2.32965,2.32965,2.32584,1,2.32584,2.32584,2.32584,2.28345,1,2.28345,2.28345,2.28345
18,40,0.0901819,1,0.0901819,0.0901819,0.0901819,0.0828748,1,0.0828748,0.0828748,0.0828748,0.0619451,1,0.0619451,0.0619451,0.0619451
18,40,0.0478863,1,0.0478863,0.0478863,0.0478863,0.0438719,1,0.0438719,0.0438719,0.0438719,0.0128941,1,0.0128941,0.0128941,0.0128941
18,40,5.68162,1,5.68162,5.68162,5.68162,5.66094,1,5.66094,5.66094,5.66094,5.59378,1,5.59378,5.59378,5.59378
18,40,4.33214,1,4.33214,4.33214,4.33214,4.3306,1,4.3306,4.3306,4.3306,4.32325,1,4.32325,4.32325,4.32325
18,40,0.730998,1,0.730998,0.730998,0.730998,0.70088,1,0.70088,0.70088,0.70088,0.642914,1,0.642914,0.642914,0.642914
18,40,0.0889109,1,0.0889109,0.0889109,0.0889109,0.0839249,1,0.0839249,0.0839249,0.0839249,0.0599199,1,0.0599199,0.0599199,0.0599199
18,40,0.0565614,1,0.0565614,0.0565614,0.0565614,0.0353127,1,0.0353127,0.0353127,0.0353127,0.0070442,1,0.0070442,0.0070442,0.0070442
18,40,0.127779,1,0.127779,0.127779,0.127779,0.11881,1,0.11881,0.11881,0.11881,0.0923298,1,0.0923298,0.0923298,0.0923298
18,40,0.0357766,1,0.0357766,0.0357766,0.0357766,0.0333887,1,0.0333887,0.0333887,0.0333887,0.00114171,1,0.00114171,0.00114171,0.00114171
18,40,0.164544,1,0.164544,0.164544,0.164544,0.141794,1,0.141794,0.141794,0.141794,0.0792934,1,0.0792934,0.0792934,0.0792934
18,40,0.140923,1,0.140923,0.140923,0.140923,0.127221,1,0.127221,0.127221,0.127221,0.0222552,1,0.0222552,0.0222552,0.0222552
18,40,4.28335,1,4.28335,4.28335,4.28335,4.28012,1,4.28012,4.28012,4.28012,4.19466,1,4.19466,4.19466,4.19466
18,40,0.371688,1,0.371688,0.371688,0.371688,0.367453,1,0.367453,0.367453,0.367453,0.280715,1,0.280715,0.280715,0.280715
18,40,3.69729,1,3.69729,3.69729,3.69729,3.61991,1,3.61991,3.61991,3.61991,3.50963,1,3.50963,3.50963,3.50963
18,40,0.164572,1,0.164572,0.164572,0.164572,0.155843,1,0.155843,0.155843,0.155843,0.128279,1,0.128279,0.128279,0.128279
18,40,15.9275,1,15.9275,15.9275,15.9275,15.9161,1,15.9161,15.9161,15.9161,15.8778,1,15.8778,15.8778,15.8778
18,40,0.184474,1,0.184474,0.184474,0.184474,0.165396,1,0.165396,0.165396,0.165396,0.104792,1,0.104792,0.104792,0.104792
18,40,0.0571196,1,0.0571196,0.0571196,0.0571196,0.0442888,1,0.0442888,0.0442888,0.0442888,0.0185504,1,0.0185504,0.0185504,0.0185504
18,40,0.0482569,1,0.0482569,0.0482569,0.0482569,0.0305421,1,0.0305421,0.0305421,0.0305421,0.0126994,1,0.0126994,0.0126994,0.0126994
18,40,0.199069,1,0.199069,0.199069,0.199069,0.197023,1,0.197023,0.197023,0.197023,0.172293,1,0.172293,0.172293,0.172293
18,40,0.550945,1,0.550945,0.550945,0.550945,0.534912,1,0.534912,0.534912,0.534912,0.488458,1,0.488458,0.488458,0.488458
18,40,0.506145,1,0.506145,0.506145,0.506145,0.502073,1,0.502073,0.502073,0.502073,0.4935,1,0.4935,0.4935,0.4935
18,40,0.160571,1,0.160571,0.160571,0.160571,0.15842,1,0.15842,0.15842,0.15842,0.129653,1,0.129653,0.129653,0.129653
18,40,1.26831,1,1.26831,1.26831,1.26831,1.24935,1,1.24935,1.24935,1.24935,1.19651,1,1.19651,1.19651,1.19651
18,40,0.761529,1,0.761529,0.761529,0.761529,0.757663,1,0.757663,0.757663,0.757663,0.67993,1,0.67993,0.67993,0.67993
18,40,2.00485,1,2.00485,2.00485,2.00485,1.98293,1,1.98293,1.98293,1.98293,1.89999,1,1.89999,1.89999,1.89999
18,40,0.446976,1,0.446976,0.446976,0.446976,0.4433,1,0.4433,0.4433,0.4433,0.378416,1,0.378416,0.378416,0.378416
18,40,0.309453,1,0.309453,0.309453,0.309453,0.297759,1,0.297759,0.297759,0.297759,0.250321,1,0.250321,0.250321,0.250321
18,40,0.187241,1,0.187241,0.187241,0.187241,0.164421,1,0.164421,0.164421,0.164421,0.082001,1,0.082001,0.082001,0.082001
18,40,0.0963933,1,0.0963933,0.0963933,0.0963933,0.0890748,1,0.0890748,0.0890748,0.0890748,0.0179585,1,0.0179585,0.0179585,0.0179585
18,40,0.411774,1,0.411774,0.411774,0.411774,0.408563,1,0.408563,0.408563,0.408563,0.346099,1,0.346099,0.346099,0.346099
18,40,0.294004,1,0.294004,0.294004,0.294004,0.2683,1,0.2683,0.2683,0.2683,0.106483,1,0.106483,0.106483,0.106483
