n,p,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max
20,60,0.0689112,1,0.0689112,0.0689112,0.0689112,816,1,816,816,816
20,60,0.106609,1,0.106609,0.106609,0.106609,1431,1,1431,1431,1431
20,60,0.0868716,1,0.0868716,0.0868716,0.0868716,1356,1,1356,1356,1356
20,60,0.262617,1,0.262617,0.262617,0.262617,4471,1,4471,4471,4471
20,60,0.161574,1,0.161574,0.161574,0.161574,2580,1,2580,2580,2580
20,60,0.0977411,1,0.0977411,0.0977411,0.0977411,1480,1,1480,1480,1480
20,60,0.0874823,1,0.0874823,0.0874823,0.0874823,1452,1,1452,1452,1452
20,60,0.0779073,1,0.0779073,0.0779073,0.0779073,1344,1,1344,1344,1344
20,60,0.113531,1,0.113531,0.113531,0.113531,1841,1,1841,1841,1841
20,60,0.0645949,1,0.0645949,0.0645949,0.0645949,732,1,732,732,732
20,60,0.174841,1,0.174841,0.174841,0.174841,2840,1,2840,2840,2840
20,60,0.148855,1,0.148855,0.148855,0.148855,2336,1,2336,2336,2336
20,60,0.0781791,1,0.0781791,0.0781791,0.0781791,1066,1,1066,1066,1066
20,60,0.0192029,1,0.0192029,0.0192029,0.0192029,320,1,320,320,320
20,60,0.0122669,1,0.0122669,0.0122669,0.0122669,200,1,200,200,200
20,60,0.106272,1,0.106272,0.106272,0.106272,1671,1,1671,1671,1671
20,60,0.145643,1,0.145643,0.145643,0.145643,2331,1,2331,2331,2331
20,60,0.0578122,1,0.0578122,0.0578122,0.0578122,880,1,880,880,880
20,60,0.0719881,1,0.0719881,0.0719881,0.0719881,974,1,974,974,974
20,60,0.0369553,1,0.0369553,0.0369553,0.0369553,503,1,503,503,503
20,60,0.138635,1,0.138635,0.138635,0.138635,2324,1,2324,2324,2324
20,60,0.110084,1,0.110084,0.110084,0.110084,1471,1,1471,1471,1471
20,60,0.0913868,1,0.0913868,0.0913868,0.0913868,1323,1,1323,1323,1323
20,60,0.189465,1,0.189465,0.189465,0.189465,3084,1,3084,3084,3084
20,60,0.0807268,1,0.0807268,0.0807268,0.0807268,1161,1,1161,1161,1161
20,60,0.228856,1,0.228856,0.228856,0.228856,3471,1,3471,3471,3471
20,60,0.0565429,1,0.0565429,0.0565429,0.0565429,646,1,646,646,646
20,60,0.0309966,1,0.0309966,0.0309966,0.0309966,536,1,536,536,536
20,60,0.0391444,1,0.0391444,0.0391444,0.0391444,656,1,656,656,656
20,60,0.0691767,1,0.0691767,0.0691767,0.0691767,1213,1,1213,1213,1213
20,60,0.0324042,1,0.0324042,0.0324042,0.0324042,429,1,429,429,429
20,60,0.275152,1,0.275152,0.275152,0.275152,4725,1,4725,4725,4725
20,60,0.302789,1,0.302789,0.302789,0.302789,4619,1,4619,4619,4619
