n,p,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max
16,30,0.000294026,1,0.000294026,0.000294026,0.000294026,1,1,1,1,1
16,30,0.00022576,1,0.00022576,0.00022576,0.00022576,1,1,1,1,1
16,30,0.00220919,1,0.00220919,0.00220919,0.00220919,21,1,21,21,21
16,30,0.000191628,1,0.000191628,0.000191628,0.000191628,1,1,1,1,1
16,30,0.00537704,1,0.00537704,0.00537704,0.00537704,57,1,57,57,57
16,30,0.000302632,1,0.000302632,0.000302632,0.000302632,3,1,3,3,3
16,30,0.030087,1,0.030087,0.030087,0.030087,399,1,399,399,399
16,30,0.00422061,1,0.00422061,0.00422061,0.00422061,41,1,41,41,41
16,30,0.000246745,1,0.000246745,0.000246745,0.000246745,1,1,1,1,1
16,30,0.913695,1,0.913695,0.913695,0.913695,10975,1,10975,10975,10975
16,30,0.000226182,1,0.000226182,0.000226182,0.000226182,1,1,1,1,1
16,30,0.000253359,1,0.000253359,0.000253359,0.000253359,1,1,1,1,1
16,30,0.000596947,1,0.000596947,0.000596947,0.000596947,5,1,5,5,5
16,30,0.000203102,1,0.000203102,0.000203102,0.000203102,1,1,1,1,1
16,30,0.000165262,1,0.000165262,0.000165262,0.000165262,1,1,1,1,1
16,30,0.105597,1,0.105597,0.105597,0.105597,1911,1,1911,1911,1911
16,30,0.000195569,1,0.000195569,0.000195569,0.000195569,1,1,1,1,1
16,30,0.0292258,1,0.0292258,0.0292258,0.0292258,329,1,329,329,329
16,30,0.00904666,1,0.00904666,0.00904666,0.00904666,91,1,91,91,91
16,30,0.0282571,1,0.0282571,0.0282571,0.0282571,351,1,351,351,351
16,30,0.00762461,1,0.00762461,0.00762461,0.00762461,83,1,83,83,83
16,30,0.000187621,1,0.000187621,0.000187621,0.000187621,1,1,1,1,1
16,30,0.000181492,1,0.000181492,0.000181492,0.000181492,1,1,1,1,1
16,30,0.0509673,1,0.0509673,0.0509673,0.0509673,697,1,697,697,697
16,30,0.0128192,1,0.0128192,0.0128192,0.0128192,141,1,141,141,141
16,30,0.350125,1,0.350125,0.350125,0.350125,5723,1,5723,5723,5723
